"Phone Code","Description"
"355-394","Babicë"
"355-213","Bajram Curri"
"355-211","Bajzë"
"355-313","Ballsh"
"355-32","Berat"
"355-811","Bilisht"
"355-219","Bulqizë"
"355-217","Burrel"
"355-387","Cakran"
"355-581","Çërrik"
"355-312","Çorovodë"
"355-815","Delvinë"
"355-371","Divjakë"
"355-52","Durrës"
"355-545","Elbasan"
"355-812","Ersekë"
"355-34","Fier"
"355-563","Fushë-Krujë"
"355-84","Gjirokastër"
"355-513","Gramsh"
"355-393","Himarë"
"355-554","Kavajë"
"355-211","Koplik"
"355-82","Korçë"
"355-511","Krujë"
"355-214","Krumë"
"355-893","Ksamil"
"355-311","Kuçovë"
"355-242","Kukës"
"355-53","Laç"
"355-388","Levan"
"355-215","Lezhë"
"355-881","Libohovë"
"355-514","Librazhd"
"355-35","Lushnjë"
"355-861","Maliq"
"355-561","Mamurras"
"355-885","Memaliaj"
"355-68","Mobile"
"355-391","Orikum"
"355-342","Patos"
"355-512","Peqin"
"355-813","Përmet"
"355-591","Përrenjas"
"355-218","Peshkopi"
"355-832","Pogradec"
"355-368","Poliçan"
"355-212","Pukë"
"355-216","Rrëshen"
"355-577","Rrogozhinë"
"355-852","Sarandë"
"355-392","Selenicë"
"355-571","Shijak"
"355-22","Shkodër"
"355-814","Tepelenë"
"355-4","Tiranë"
"355-213","Tropojë"
"355-361","Ura Vajgurore"
"355-33","Vlorë"
"355-69","Vodafone"
