"Phone Code","Description"
"213-49","Adrar"
"213-27","Ain Defla"
"213-43","Ain Temouchent"
"213-21","Alger"
"213-38","Annaba"
"213-33","Batna"
"213-49","Bechar"
"213-34","Bejaia"
"213-33","Biskra"
"213-25","Blida"
"213-35","Bordj Bou Arreridj"
"213-26","Bouira"
"213-24","Boumerdes"
"213-27","Chlef"
"213-31","Constantine"
"213-27","Djelfa"
"213-49","El Bayadh"
"213-32","El Oued"
"213-38","El Tarf"
"213-29","Ghardaia"
"213-37","Guelma"
"213-29","Illizi"
"213-34","Jijel"
"213-32","Khenchela"
"213-29","Laghouat"
"213-35","M?sila"
"213-45","Mascara"
"213-25","Medea"
"213-31","Mila"
"213-61","Mobile Phones"
"213-45","Mostaganem"
"213-49","Naama"
"213-41","Oran"
"213-29","Ouargla"
"213-32","Oum El Bouaghi"
"213-46","Relizane"
"213-48","Saida"
"213-36","Setif"
"213-48","Sidi Bel Abbes"
"213-38","Skikda"
"213-37","Souk Ahras"
"213-29","Tamenrasset"
"213-37","Tebessa"
"213-46","Tiaret"
"213-49","Tindouf"
"213-24","Tipaza"
"213-46","Tissemsilt"
"213-26","Tizi Ouzou"
"213-43","Tlemcen"
