"Phone Code","Description"
"244-72","Baia Farta"
"244-72","Bela Vista"
"244-72","Benguela"
"244-31","Cabinda"
"244-34","Catete"
"244-72","Catumbela"
"244-34","Caxito"
"244-72","Cubal"
"244-65","Cunene"
"244-72","Dombe Grande"
"244-72","Ganda"
"244-41","Huambo"
"244-61","Huila"
"244-48","Kuito"
"244-72","Lobito"
"244-2","Luanda"
"244-61","Lubango"
"244-52","Lucapa"
"244-54","Luena"
"244-51","Malange"
"244-49","Menongue"
"244-91","Mobile Phones - Angola Telecom"
"244-92","Mobile Phones - Unitel"
"244-64","Namibe"
"244-35","Ndalatando"
"244-65","Ondjiva"
"244-53","Saurimo"
"244-36","Sumbe"
"244-64","Tombwa"
"244-33","Uíge"
"244-65","Xangongo"
