"Phone Code","Description"
"54-291","Bahia Blanca"
"54-11","Buenos Aires"
"54-3833","Catamarca"
"54-297","Comodoro Rivadavia"
"54-345","Concordia"
"54-351","Cordoba"
"54-3783","Corrientes"
"54-3717","Formosa"
"54-3525","Jesus Maria"
"54-221","La Plata"
"54-3822","La Rioja"
"54-223","Mar del Plata"
"54-261","Mendoza"
"54-2324","Mercedes/Prov. B.A."
"54-299","Neuquen"
"54-343","Parana"
"54-3752","Posadas"
"54-3722","Resistencia"
"54-358","Rio Cuarto"
"54-341","Rosario"
"54-387","Salta"
"54-264","San Juan"
"54-2652","San Luis"
"54-3461","San Nicolas"
"54-2627","San Rafael"
"54-342","Santa Fe"
"54-385","Santiago del Estero"
"54-3756","Santo Tome"
"54-2293","Tandil"
"54-2965","Trelew"
"54-381","Tucumán"
"54-531","Villa Maria"
