"Phone Code","Description"
"374-22","Abovian"
"374-43","Akhurian"
"374-23","Alapars"
"374-53","Alaverdi"
"374-46","Amasia"
"374-52","Aparan"
"374-43","Arapi"
"374-38","Ararat"
"374-24","Argel"
"374-37","Armavir"
"374-35","Artashat"
"374-44","Artik"
"374-45","Ashotsk"
"374-32","Ashtarak"
"374-33","Baghramian"
"374-23","Bjni"
"374-65","Chambarak"
"374-26","Charentsavan"
"374-33","Dalarik"
"374-51","Dzoraget"
"374-31","Echmiadzin"
"374-51","Eghegnut"
"374-24","Eghvard"
"374-64","Gavar"
"374-84","Goris"
"374-41","Gyumri"
"374-37","Hoktember"
"374-23","Hrazdan"
"374-63","Ijevan"
"374-87","Jermuk"
"374-85","Kadjaran"
"374-43","Kamo"
"374-85","Kapan"
"374-33","Karakerd"
"374-84","Khndzoresk"
"374-66","Koghb"
"374-51","Lermontov"
"374-42","Maralik"
"374-51","Margahovit"
"374-62","Martuni"
"374-36","Masis"
"374-23","Meghradzor"
"374-86","Meghri"
"374-37","Metsamor"
"374-33","Miasnikian"
"374-9","Mobile"
"374-24","Nor Gekhi"
"374-24","Nor Hajn"
"374-66","Noyemberian"
"374-51","Pambak"
"374-44","Pernzashen"
"374-23","Piunik"
"374-24","Proshyan"
"374-22","Ptghni"
"374-42","Sarnakhpyur"
"374-64","Sarukhan"
"374-61","Sevan"
"374-42","Shirakavan"
"374-83","Sisian"
"374-23","Solak"
"374-55","Spitak"
"374-56","Stepanavan"
"374-49","Talin"
"374-54","Tashir"
"374-57","Tsaghkahovit"
"374-23","Tsakhkadzor"
"374-51","Vahagni"
"374-51","Vanadzor"
"374-69","Vardenis"
"374-82","Vayk"
"374-34","Vedi"
"374-84","Verishen"
"374-81","Yeghegnadzor"
"374-10","Yerevan"
"374-24","Zovuni"
"374-31","Zvartnots"
