"Phone Code","Description"
"43-5552","Bludenz"
"43-316","Graz"
"43-512","Innsbruck"
"43-5356","Kitzbuhel"
"43-463","Klagenfurt"
"43-2732","Krems An Der Donau"
"43-3842","Leoben"
"43-732","Linz Donau"
"43-664","Mobile Phones - A1"
"43-660","Mobile Phones - Drei"
"43-676","Mobile Phones - Max"
"43-699","Mobile Phones - One"
"43-650","Mobile Phones - Telering"
"43-2635","Neunkirchen Niederosterreich"
"43-662","Salzburg"
"43-2742","St. Polten"
"43-1","Vienna (Wien)"
"43-4242","Villach"
"43-7242","Wels"
"43-2622","Wiener Neustadt"
"43-4352","Wolfsberg"
