"Phone Code","Description"
"994-192","Agdam"
"994-193","Agdash"
"994-113","Agdjabedi"
"994-244","Agstafa"
"994-198","Agsu"
"994-197","Ali-Bayramli"
"994-195","Astara"
"994-12","Baku"
"994-119","Balaken"
"994-110","Barda"
"994-152","Beylagan"
"994-159","Bilesuvar"
"994-216","Dashkesan"
"994-115","Devechi"
"994-114","Djalilabad"
"994-141","Eizuli"
"994-160","Gabala"
"994-144","Gakh"
"994-279","Gazakh"
"994-167","Geokchay"
"994-234","Geranboy"
"994-150","Gobustan"
"994-169","Guba"
"994-22","Gyandia"
"994-172","Hachmaz"
"994-140","Hadjigabul"
"994-230","Hanlar"
"994-199","Hizi"
"994-154","Imishli"
"994-178","Ismayilli"
"994-232","Kedabek"
"994-138","Kusari"
"994-145","Kyurdamir"
"994-171","Lenkaran"
"994-157","Lerik"
"994-151","Masalli"
"994-147","Mingechevir"
"994-50","Mobile Phones - Azercell"
"994-55","Mobile Phones - Bakcell (GSM 9"
"994-255","Naftalan"
"994-136","Nahichevan"
"994-153","Neftechala"
"994-111","Oguz"
"994-168","Saatli"
"994-143","Sabirabad"
"994-163","Salyan"
"994-265","Samukh"
"994-176","Shamaha"
"994-241","Shamkir"
"994-177","Sheki"
"994-190","Siyazan"
"994-164","Sumgayit"
"994-246","Ter-Ter"
"994-231","Tovuz"
"994-170","Udjar"
"994-175","Yardimli"
"994-166","Yevlakh"
"994-174","Zagatala"
"994-135","Zardab"
