"Phone Code","Description"
"880-7622","Alamdanga"
"880-8528","Ashugonj"
"880-4222","Avaynagar (Noapara)"
"880-5222","Badargonj"
"880-468","Bagerhat"
"880-4332","Banaripara"
"880-361","Bandarban"
"880-3037","Banshkhali"
"880-448","Barguna"
"880-431","Barisal"
"880-4422","Bauphal"
"880-9423","Bazitpur"
"880-9424","Bhairab"
"880-4623","Bhandaria"
"880-7022","Bheramara"
"880-491","Bhola"
"880-51","Bogra"
"880-851","Brahmanbaria"
"880-841","Chandpur"
"880-3529","Chandraghona (Kaptai)"
"880-8034","Chaudagram"
"880-8723","Chhatak"
"880-31","Chittagong"
"880-761","Chuadanga"
"880-81","Comilla"
"880-3223","Companigon (Bashurhat)"
"880-341","Cox's Bazar"
"880-8023","Daudkandi"
"880-7023","Daulatpur"
"880-2","Dhaka"
"880-531","Dinajpur"
"880-631","Faridpur"
"880-331","Feni"
"880-5327","Fulbari"
"880-541","Gaibandha"
"880-4424","Galachipa"
"880-681","Gazipur"
"880-9225","Ghatail"
"880-6423","Goalanda"
"880-423","Gopalgonj"
"880-8424","Hajigonj"
"880-3224","Hatiya (Oshkhali)"
"880-831","Hobigonj"
"880-732","Ishwardi"
"880-981","Jamalpur"
"880-421","Jessore"
"880-498","Jhalokathhi"
"880-451","Jhenaidah"
"880-4225","Jhikargacha"
"880-571","Joypurhat"
"880-4724","Kalaroa"
"880-8233","Kanaighat"
"880-371","Khagrachhari"
"880-4425","Khepupara"
"880-41","Khulna"
"880-941","Kishoregonj"
"880-581","Kurigram"
"880-71","Kustia"
"880-8032","Laksham (Daulatgonj)"
"880-381","Lakshmipur"
"880-591","Lalmonirhat"
"880-661","Madaripur"
"880-488","Magura"
"880-651","Manikgonj"
"880-6257","Mathabdi"
"880-791","Meherpur"
"880-9435","Mithamain"
"880-9524","Mohanganj"
"880-3424","Moheshkhali"
"880-402","Mongla"
"880-4662","Mongla New Port"
"880-861","Moulavibazar"
"880-9028","Muktagacha"
"880-4326","Muladi"
"880-691","Munshigonj"
"880-91","Mymensingh"
"880-8525","Nabinagar"
"880-9233","Nagarpur"
"880-741","Naogaon"
"880-481","Narail"
"880-628","Narsingdi"
"880-771","Natore"
"880-781","Nawabgonj (Chapai)"
"880-951","Netrokona"
"880-551","Nilphamari"
"880-321","Noakhali"
"880-731","Pabna"
"880-4027","Paikgacha"
"880-6254","Palash (Ghorashal)"
"880-568","Panchagar"
"880-5334","Parbatipur"
"880-441","Patuakhali"
"880-461","Perojpur"
"880-9033","Plulpur"
"880-3035","Potiya"
"880-641","Rajbari"
"880-721","Rajshahi"
"880-3823","Ramgoti (Char Alexander)"
"880-351","Rangamati"
"880-521","Rangpur"
"880-5526","Saidpur"
"880-4228","Sarsha (Benapol)"
"880-3036","Satkania"
"880-471","Satkhira"
"880-2","Savar"
"880-601","Shariatpur"
"880-931","Sherpur"
"880-5033","Shibganj"
"880-751","Sirajgonj"
"880-3028","Sitakundu (Barabkundu)"
"880-8626","Srimangol"
"880-871","Sunamgonj"
"880-552","Syedpur"
"880-821","Sylhet"
"880-8732","Taherpur"
"880-921","Tangail"
"880-561","Thakurgaon"
"880-3427","Ukhia"
