"Phone Code","Description"
"375-16","Brest Oblast"
"375-163","Brest Oblast - Baranovichi"
"375-1643","Brest Oblast - Bereza"
"375-162","Brest Oblast - Brest"
"375-1644","Brest Oblast - Drogichin"
"375-1646","Brest Oblast - Gancevichi"
"375-1652","Brest Oblast - Ivanovo"
"375-1645","Brest Oblast - Ivatsevichi"
"375-1631","Brest Oblast - Kamenets"
"375-1642","Brest Oblast - Kobrin"
"375-1647","Brest Oblast - Luninets"
"375-1633","Brest Oblast - Lyahovichi"
"375-1651","Brest Oblast - Malorita"
"375-165","Brest Oblast - Pinsk"
"375-1632","Brest Oblast - Pruzhanu"
"375-1655","Brest Oblast - Stolin"
"375-1641","Brest Oblast - Zhabinka"
"375-2344","Gomel Oblast - Bragin"
"375-2336","Gomel Oblast - Buda-Koshelevo"
"375-2332","Gomel Oblast - Chechersk"
"375-2333","Gomel Oblast - Dobrush"
"375-2354","Gomel Oblast - Elsk"
"375-2322","Gomel Oblast - Gomel"
"375-2346","Gomel Oblast - Hoyniki"
"375-2345","Gomel Oblast - Kalinkovichi"
"375-2337","Gomel Oblast - Korma"
"375-2356","Gomel Oblast - Lelchitsu"
"375-2347","Gomel Oblast - Loev"
"375-2351","Gomel Oblast - Mozur"
"375-2355","Gomel Oblast - Narovlya"
"375-2357","Gomel Oblast - Oktyabrski"
"375-2350","Gomel Oblast - Petrikov"
"375-2340","Gomel Oblast - Rechitsa"
"375-2339","Gomel Oblast - Rogachev"
"375-2342","Gomel Oblast - Svetlogorsk"
"375-2330","Gomel Oblast - Vetka"
"375-2353","Gomel Oblast - Zhitkovichi"
"375-2334","Gomel Oblast - Zhlobin"
"375-1511","Grodno Oblast - Berestovitsa"
"375-1563","Grodno Oblast - Dyatlovo"
"375-152","Grodno Oblast - Grodno"
"375-1522","Grodno Oblast - Grodno"
"375-1595","Grodno Oblast - Ivye"
"375-1596","Grodno Oblast - Korelichi"
"375-1561","Grodno Oblast - Lida"
"375-1515","Grodno Oblast - Mostu"
"375-1597","Grodno Oblast - Nobogrudok"
"375-1593","Grodno Oblast - Oshmyanu"
"375-1591","Grodno Oblast - Ostrovets"
"375-1514","Grodno Oblast - Shchuchin"
"375-1562","Grodno Oblast - Slonim"
"375-1592","Grodno Oblast - Smorgon"
"375-1513","Grodno Oblast - Svisloch"
"375-1512","Grodno Oblast - Volkovusk"
"375-1594","Grodno Oblast - Voronovo"
"375-1564","Grodno Oblast - Zelva"
"375-1715","Minsk Oblast - Berezino"
"375-1777","Minsk Oblast - Borisov"
"375-1714","Minsk Oblast - Cherven"
"375-1716","Minsk Oblast - Dzerzhinsk"
"375-1793","Minsk Oblast - Kletsk"
"375-1719","Minsk Oblast - Kopul"
"375-1796","Minsk Oblast - Krupki"
"375-1774","Minsk Oblast - Logoysk"
"375-1794","Minsk Oblast - Lyuban"
"375-1713","Minsk Oblast - Maryina Gorka"
"375-17","Minsk Oblast - Minsk"
"375-1773","Minsk Oblast - Molodechno"
"375-1797","Minsk Oblast - Myadel"
"375-1797","Minsk Oblast - Naroch"
"375-1770","Minsk Oblast - Nesvizh"
"375-1779","Minsk Oblast - Pleshchenitsu"
"375-1713","Minsk Oblast - Puhovichi"
"375-1795","Minsk Oblast - Slutsk"
"375-1776","Minsk Oblast - Smolevichi"
"375-1710","Minsk Oblast - Soligorsk"
"375-1792","Minsk Oblast - Starye Dorogi"
"375-1717","Minsk Oblast - Stolbtsu"
"375-1718","Minsk Oblast - Uzda"
"375-1771","Minsk Oblast - Vileyka"
"375-1772","Minsk Oblast - Volozhin"
"375-1775","Minsk Oblast - Zhodino"
"375-2232","Mogilev Oblast - Belunichi"
"375-225","Mogilev Oblast - Bobruysk"
"375-2251","Mogilev Oblast - Bobruysk"
"375-2231","Mogilev Oblast - Buhov"
"375-2242","Mogilev Oblast - Chausu"
"375-2243","Mogilev Oblast - Cherikov"
"375-2248","Mogilev Oblast - Dribin"
"375-2230","Mogilev Oblast - Glusk"
"375-2233","Mogilev Oblast - Gorki"
"375-2247","Mogilev Oblast - Hotimsk"
"375-2237","Mogilev Oblast - Kirovsk"
"375-2236","Mogilev Oblast - Klichev"
"375-2244","Mogilev Oblast - Klimovichi"
"375-2245","Mogilev Oblast - Kostyukovichi"
"375-2238","Mogilev Oblast - Krasnopolye"
"375-2241","Mogilev Oblast - Krichev"
"375-2234","Mogilev Oblast - Krugloye"
"375-222","Mogilev Oblast - Mogilev"
"375-2240","Mogilev Oblast - Mstislavl"
"375-2235","Mogilev Oblast - Osipovichi"
"375-2239","Mogilev Oblast - Shklov"
"375-2246","Mogilev Oblast - Slavgorod"
"375-23","Region Codes - Gomel Oblast"
"375-15","Region Codes - Grodno Oblast"
"375-17","Region Codes - Minsk Oblast"
"375-22","Region Codes - Mogilev Oblast"
"375-21","Region Codes - Vitebsk Oblast"
"375-2131","Vitebsk Oblast - Beshenkovichi"
"375-2153","Vitebsk Oblast - Braslav"
"375-2133","Vitebsk Oblast - Chashniki"
"375-2157","Vitebsk Oblast - Dokshitsu"
"375-2137","Vitebsk Oblast - Dubrova"
"375-2156","Vitebsk Oblast - Glubokoye"
"375-2139","Vitebsk Oblast - Gorodok"
"375-2132","Vitebsk Oblast - Lepel"
"375-2138","Vitebsk Oblast - Liozno"
"375-2152","Vitebsk Oblast - Mioru"
"375-214","Vitebsk Oblast - Novopolotsk"
"375-2161","Vitebsk Oblast - Orsha"
"375-214","Vitebsk Oblast - Polotsk"
"375-2155","Vitebsk Oblast - Postavu"
"375-2159","Vitebsk Oblast - Rossonu"
"375-2135","Vitebsk Oblast - Senno"
"375-2154","Vitebsk Oblast - Sharkovshchin"
"375-2130","Vitebsk Oblast - Shumilino"
"375-2136","Vitebsk Oblast - Tolochin"
"375-2158","Vitebsk Oblast - Ushachi"
"375-2151","Vitebsk Oblast - Verhnedvinsk"
"375-212","Vitebsk Oblast - Vitebsk"
