"Phone Code","Description"
"32-53","Aalst (Alost)"
"32-3","Antwerpen (Anvers) ""Antwerp"""
"32-63","Arlon"
"32-67","Ath"
"32-50","Brugge (Bruges)"
"32-2","Brussel/Bruxelles ""Brussels"""
"32-71","Charleroi"
"32-60","Chimay"
"32-83","Ciney"
"32-52","Dendermonde"
"32-13","Diest"
"32-82","Dinant"
"32-86","Durbuy"
"32-89","Genk"
"32-9","Gent (Gand) ""Ghent"""
"32-11","Hasselt"
"32-14","Herentals"
"32-85","Huy (Hoei)"
"32-64","La Louvière"
"32-16","Leuven (Louvain)"
"32-61","Libramont"
"32-4","Liège (Luik)"
"32-15","Mechelen (Malines)"
"32-485","Mobile Phones - Base"
"32-486","Mobile Phones - Base"
"32-495","Mobile Phones - Mobistar"
"32-496","Mobile Phones - Mobistar"
"32-49","Mobile Phones - Mobistar"
"32-472","Mobile Phones - Proximus"
"32-473","Mobile Phones - Proximus"
"32-47","Mobile Phones - Proximus"
"32-65","Mons (Bergen)"
"32-81","Namur (Namen)"
"32-58","Nieuwpoort (Nieuport)"
"32-54","Ninove"
"32-67","Nivelles (Nijvel)"
"32-59","Oostende (Ostende) ""Ostend"""
"32-51","Roeselare (Roulers)"
"32-55","Ronse"
"32-80","Stavelot"
"32-12","Tongeren (Tongres)"
"32-69","Tounai"
"32-14","Turnhout"
"32-87","Verviers"
"32-58","Veurne"
"32-19","Wareme"
"32-10","Wavre (Waver)"
"32-50","Zeebrugge"
