"Phone Code","Description"
"975-7","Bangtar DAMA"
"975-2","Basochu"
"975-8","Chapcha"
"975-5","Chargary"
"975-3","Chumey"
"975-6","Dagana"
"975-6","Dagapela"
"975-7","Daifam DAMA"
"975-6","Damphu DAMA"
"975-2","Dechencholing"
"975-7","Deothang"
"975-6","Drujegang"
"975-8","Drukgyel Dzong"
"975-2","Gasa"
"975-5","Gedu/Tala/Padechu/ Sinchekha"
"975-6","Gelephu"
"975-4","Gelpoyshing"
"975-5","Gomtu"
"975-8","Ha"
"975-8","Ha (Damthang)"
"975-3","Jakar"
"975-4","Kanglung"
"975-4","Khaling"
"975-2","Kharsadrapchu"
"975-5","Lhamoi Zingkha"
"975-4","Lhuntse"
"975-2","Lingshi DAMA"
"975-6","Lodrai"
"975-17","Mobile Phones"
"975-4","Mongar"
"975-7","Nganglam"
"975-7","Nganglam DAMA"
"975-7","P/Gatshel"
"975-7","P/Gatshel DAMA"
"975-6","Panbang DAMA"
"975-8","Paro"
"975-5","Pasakha"
"975-5","Phuntsholing"
"975-2","Punakha"
"975-4","Rangjung"
"975-7","S/Jongkhar"
"975-4","Sakteng DAMA"
"975-5","Samtse"
"975-6","Sarpang"
"975-8","Shaba"
"975-5","Sibsoo"
"975-2","Simtokha"
"975-6","Suray"
"975-2","Taba"
"975-4","Tangmachu"
"975-2","Thimphu"
"975-3","Tingtibi"
"975-4","Trashi Yangtse"
"975-4","Trashigang"
"975-3","Trongsa"
"975-4","Tsenkharla"
"975-8","Tsimasham"
"975-6","Tsirang (Damphu)"
"975-4","Wamrong"
"975-2","Wangdue"
"975-8","Wangkha"
"975-3","Zhemgang"
"975-3","Zhemgang DAMA"
