"Phone Code","Description"
"591-4","Bermejo"
"591-2","Caranavi"
"591-3","Cobija"
"591-4","Cochabamba"
"591-3","Guayaramerín"
"591-2","La Paz"
"591-720","Mobile Phones - Entel (GSM 190"
"591-721","Mobile Phones - Entel (GSM 190"
"591-72","Mobile Phones - Entel (GSM 190"
"591-710","Mobile Phones - Entel (TDMA)"
"591-711","Mobile Phones - Entel (TDMA)"
"591-71","Mobile Phones - Entel (TDMA)"
"591-770","Mobile Phones - Telecel"
"591-771","Mobile Phones - Telecel"
"591-77","Mobile Phones - Telecel"
"591-706","Mobile Phones - Viva"
"591-707","Mobile Phones - Viva"
"591-70","Mobile Phones - Viva"
"591-2","Oruro"
"591-2","Potosi"
"591-3","Riberalta"
"591-3","Santa Ana"
"591-3","Santa Cruz"
"591-4","Sucre"
"591-4","Tarija"
"591-3","Trinidad"
"591-2","Villazón"
"591-4","Yacuiba"
