"Phone Code","Description"
"387-51","Banja Luka"
"387-55","Bijeljina"
"387-38","Bosansko - Podrinjska ?upanija"
"387-49","Distrikt Brcko"
"387-53","Doboj"
"387-58","Foca/Srbinje"
"387-34","Herceg"
"387-36","Hercegovac"
"387-33","Kanton Sarajevo"
"387-61","Mobile Phones - BH Telecom"
"387-62","Mobile Phones - BH Telecom"
"387-63","Mobile Phones - Eronet"
"387-65","Mobile Phones - Moblna Skpske"
"387-50","Mrkonjic' Grad"
"387-31","Posavska ?upanija"
"387-52","Prijedor"
"387-54","?amac"
"387-33","Sarajevska ?upanija"
"387-58","Srbinje"
"387-30","Srednjo"
"387-57","Srpsko Sarajevo"
"387-59","Trebinje"
"387-35","Tuzlanska ?upanija"
"387-37","Unsko"
"387-39","Zapadno"
"387-32","Zenic"
"387-56","Zvornik"
