"Phone Code","Description"
"359-73","Blagoevgrad"
"359-56","Bourgas"
"359-58","Dobritch"
"359-66","Gabrovo"
"359-751","Gotse Delchev"
"359-38","Haskovo"
"359-361","Kardjali"
"359-431","Kazanluk"
"359-78","Kjustendil"
"359-68","Lovetch"
"359-89","Mobile Phones - Globul"
"359-88","Mobile Phones - Mtel"
"359-87","Mobile Phones - Vivacom"
"359-96","Montana"
"359-34","Pazardjik"
"359-76","Pernik"
"359-64","Pleven"
"359-32","Plovdiv"
"359-84","Razgrad"
"359-82","Rousse"
"359-54","Shoumen"
"359-86","Silistra"
"359-44","Sliven"
"359-301","Smolyan"
"359-2","Sofia"
"359-42","Stara Zagora"
"359-601","Targovishte"
"359-52","Varna"
"359-62","Veliko Tarnovo"
"359-94","Vidin"
"359-92","Vratsa"
"359-46","Yambol"
