"Phone Code","Description"
"855-54","Banteay Meanchey"
"855-53","Battambang"
"855-42","Kampong Cham"
"855-26","Kampong Chhnang"
"855-25","Kampong Speu"
"855-62","Kampong Thom"
"855-33","Kampot"
"855-24","Kandal"
"855-36","Kep"
"855-35","Koh Kong"
"855-72","Kratie"
"855-12","Mobile Phones - CamGSM"
"855-11","Mobile Phones - Camshin"
"855-18","Mobile Phones - Camtel AMPS"
"855-15","Mobile Phones - Casacom"
"855-16","Mobile Phones - Casacom"
"855-73","Mondolkiri"
"855-55","Pailin"
"855-23","Phnom Penh"
"855-64","Preah Vihear"
"855-43","Prey Veng"
"855-52","Pursat"
"855-75","Ratanakiri"
"855-63","Siem Riep"
"855-34","Sihanoukville"
"855-74","Stung Treng"
"855-44","Svay Rieng"
"855-32","Takeo"
"855-65","Udar Meanchey"
