"Phone Code","Description"
"1-587","Alberta"
"1-403","Calgary"
"1-587","Calgary"
"1-780","Edmonton"
"1-819","Gatineau"
"1-902","Halifax"
"1-519","London"
"1-226","London"
"1-905","Mississauga"
"1-289","Mississauga"
"1-514","Montreal"
"1-438","Montreal"
"1-613","Ottawa"
"1-343","Ottawa"
"1-581","Quebec City"
"1-418","Quebec City"
"1-306","Saskatoon"
"1-705","Sault Ste. Marie"
"1-249","Sault Ste. Marie"
"1-600","Specialized Telecom Services"
"1-506","St. John"
"1-709","St. John's"
"1-450","Terrebone"
"1-579","Terrebone"
"1-807","Thunber Bay"
"1-647","Toronto"
"1-416","Toronto"
"1-236","Vancouver"
"1-778","Vancouver"
"1-604","Vancouver"
"1-250","Victoria"
"1-204","Winnipeg"
"1-867","Yellowknife"
