"Phone Code","Description"
"56-55","Antofagasta"
"56-58","Arica"
"56-55","Calama"
"56-42","Chillán"
"56-41","Concepción"
"56-52","Copiacó"
"56-51","Coquimbo"
"56-67","Coyhaique"
"56-75","Curicó"
"56-57","Iquique"
"56-51","La Serena"
"56-73","Linares"
"56-34","Los Andes"
"56-43","Los Angeles"
"56-64","Osorno"
"56-53","Ovalle"
"56-65","Puerto Montt"
"56-61","Punta Arenas"
"56-33","Quillota"
"56-72","Rancagua"
"56-35","San Antonio"
"56-34","San Felipe"
"56-72","San Fernando"
"56-2","Santiago (Metropolitan Region)"
"56-71","Talca"
"56-41","Talcahuano"
"56-45","Temuco"
"56-63","Valdivia"
"56-32","Valparaíso"
"56-32","Viña del Mar"
