"Phone Code","Description"
"86-997","Akesu - Xinjiang"
"86-915","Ankang - Shaanxi"
"86-556","Anqing - Anhui"
"86-5467","Anqiu - Shandong"
"86-853","Anshun - Guizhou"
"86-4434","Antu - Jilin"
"86-9472","Anxi - Gansu"
"86-372","Anyang - Henan"
"86-9081","Atushi - Xinjiang"
"86-436","Baicheng - Jilin"
"86-776","Baise - Guangxi"
"86-7808","Bama - Guangxi"
"86-312","Baodin - Hebei"
"86-917","Baoji - Shaanxi"
"86-472","Baotou - Nei Mongol"
"86-8279","Bazhong - Sichuan"
"86-779","Beihai - Guangxi"
"86-10","Beijing - Beijing"
"86-421","Beipiao - Liaoning"
"86-552","Bengbu - Anhui"
"86-414","Benxi - Liaoning"
"86-9093","Bole - Xinjiang"
"86-774","Cangwu - Guangxi"
"86-29","Chang-an - Shaanxi"
"86-4458","Changbai - Jilin"
"86-431","Changchun - Jilin"
"86-736","Changde - Hunan"
"86-895","Changdu - Xizang (Tibet)"
"86-551","Changfeng - Anhui"
"86-994","Changji - Xinjiang"
"86-591","Changle - Fujian"
"86-731","Changsha - Hunan"
"86-512","Changshu - Jiangsu"
"86-355","Changye - Shanxi"
"86-519","Changzhou - Jiangsu"
"86-7681","Chaozhou - Guangdong"
"86-314","Chengde - Hebei"
"86-28","Chengdu - Sichuan"
"86-476","Chifeng - Nei Mongol"
"86-23","Chongqing - Chongqing"
"86-878","Chuxiong - Yunnan"
"86-574","Cixi - Zhejiang"
"86-20","Conghua - Guangdong"
"86-971","Da-tong - Qinghai"
"86-872","Dali - Yunnan"
"86-411","Dalian - Liaoning"
"86-415","Dandong - Liaoning"
"86-5211","Danyang - Jiangsu"
"86-459","Daqing - Heilongjiang"
"86-352","Datong - Shanxi"
"86-534","Dezhou - Shandong"
"86-932","Dinxi - Gansu"
"86-5604","Dinyuan - Anhui"
"86-8003","Dongfang - Hainan"
"86-7620","Dongwan - Guangdong"
"86-579","Dongyang - Zhejiang"
"86-8236","Dujiangyan - Sichuan"
"86-4435","Dunhua - Jilin"
"86-9473","Dunhuang - Gansu"
"86-4813","Erlianhaote - Nei Mongol"
"86-4803","Erlunchun - Nei Mongol"
"86-711","Ezhou - Hubei"
"86-20","Fanyu - Guangdong"
"86-574","Fenghua - Zhejiang"
"86-7480","Fenghuang - Hunan"
"86-4841","Fengzhen - Nei Mongol"
"86-8286","Fenjie - Sichuan"
"86-3836","Fenqiu - Henan"
"86-3602","Fenyang - Shanxi"
"86-757","Foshan - Guangdong"
"86-593","Fu-an - Fujian"
"86-794","Fu-zhou - Jiangxi"
"86-871","Fumin - Yunnan"
"86-9263","Fuopin - Shaanxi"
"86-413","Fushun - Liaoning"
"86-418","Fuxin - Liaoning"
"86-571","Fuyang - Zhejiang"
"86-591","Fuzhou - Fujian"
"86-797","Ganzhou - Jiangxi"
"86-7056","Gao-an - Jiangxi"
"86-5247","Gaoyou - Jiangsu"
"86-873","Gejiu - Yunnan"
"86-979","Germu - Qinghai"
"86-8269","Guang-an - Sichuan"
"86-3627","Guangling - Shanxi"
"86-758","Guangning - Guangdong"
"86-20","Guangzhou - Guangdong"
"86-773","Guilin - Guangxi"
"86-851","Guiyang - Guizhou"
"86-9453","Gulang - Gansu"
"86-9097","Guliu - Xinjiang"
