"Phone Code","Description"
"57-6","Armenia"
"57-5","Barranquilla"
"57-1","Bogota"
"57-7","Bucaramanga"
"57-2","Cali"
"57-5","Cartagena"
"57-7","Cucuta"
"57-8","Ibague"
"57-6","Manizales"
"57-4","Medellin"
"57-310","Mobile Phones - Comcel"
"57-311","Mobile Phones - Comcel"
"57-312","Mobile Phones - Comcel"
"57-315","Mobile Phones - Movistar"
"57-316","Mobile Phones - Movistar"
"57-300","Mobile Phones - Ola"
"57-301","Mobile Phones - Ola"
"57-8","Neiva"
"57-2","Palmira"
"57-6","Pereira"
"57-5","Santa Marta"
"57-8","Villavicencio"
