"Phone Code","Description"
"385-43","Bjelovar"
"385-40","Cakovec"
"385-20","Dubrovnik"
"385-53","Gospic"
"385-47","Karlovac"
"385-48","Koprivnica"
"385-49","Krapina"
"385-98","Mobile Phones - T-Mobile"
"385-99","Mobile Phones - T-Mobile"
"385-95","Mobile Phones - Tele 2"
"385-91","Mobile Phones - VIP"
"385-92","Mobile Phones - VIP"
"385-31","Osijek"
"385-52","Pazin"
"385-34","Pozega"
"385-51","Rijeka"
"385-22","Sibenik"
"385-44","Sisak"
"385-35","Slavonski Brod"
"385-21","Split"
"385-42","Varazdin"
"385-32","Vinkovci"
"385-33","Virovitica"
"385-23","Zadar"
"385-1","Zagreb"
