"Phone Code","Description"
"53-43","Abreus"
"53-64","Aguacate"
"53-43","Aguada de Pasajeros"
"53-67","Alquízar"
"53-24","Alto Cedro"
"53-31","Amancio"
"53-24","Antilla"
"53-63","Artemisa"
"53-24","Baguanos"
"53-86","Bahia Honda"
"53-24","Banes"
"53-33","Baragua"
"53-31","Bartle"
"53-23","Bartolome Maso"
"53-62","Batabanó"
"53-32","Batalla de Las Guasimas"
"53-680","Bauta"
"53-23","Bayamo"
"53-66","Bejucal"
"53-24","Biran"
"53-6929","Boca de Jaruco"
"53-33","Bolivia"
"53-32","Brasil"
"53-23","Buey Arriba"
"53-63","Cabañas"
"53-24","Cacocum"
"53-680","Caimito del Guayabal"
"53-5","Calimete"
"53-24","Calixto Garcia"
"53-32","Camagüey"
"53-32","Camalote"
"53-5","Camarioca"
"53-692","Camilo Cienfuegos"
"53-61","Camino"
"53-23","Campechuela"
"53-6929","Canasí"
"53-85","Candelaria"
"53-32","Candido Gonzalez"
"53-45","Cárdenas"
"53-32","Cascorro"
"53-62","Catalina de Güines"
"53-23","Cauto Cristo"
"53-33","Cayo Coco"
"53-5","Cayo Largo"
"53-5","Ceba Mocha"
"53-33","Ceballos"
"53-680","Ceiba Nuevo"
"53-32","Cespedes"
"53-33","Chambas"
"53-22","Chile"
"53-5","Cidra"
"53-33","Ciego de Ávila"
"53-59","Ciénaga de Zapata"
"53-432","Cienfuegos"
"53-33","Ciro Redondo"
"53-31","Colombia"
"53-5","Colón"
"53-32","Communidad Pueblo Nuevo"
"53-8","Consolación del Sur"
"53-22","Contramaestre"
"53-84","Cortés"
"53-24","Cristino Naranjo"
"53-24","Cueto"
"53-315","Delicias"
"53-22","Dos Caminos de San Luis"
"53-22","El Cobre"
"53-22","El Cristo"
"53-33","Enrique Varona"
"53-8","Entronque de Herradura"
"53-32","Esmeralda"
"53-24","Felton"
"53-33","Florencia"
"53-32","Florida"
"53-24","Floro Perez"
"53-24","Frank Pais"
"53-33","Gaspar"
"53-24","Gibara"
"53-23","Gramma"
"53-32","Guaimaro"
"53-686","Guanajay"
"53-84","Guane"
"53-21","Guantánamo"
"53-24","Guardalavaca"
"53-24","Guaro"
"53-24","Guatemala"
"53-31","Guayabal"
"53-33","Guayacanas"
"53-62","Güines"
"53-67","Güira de Melena"
"53-23","Guisa"
"53-32","Haiti"
"53-7","Havana (Ciudad La Habana)"
"53-24","Holguín"
"53-32","Imias"
"53-84","Isabel Rubio"
"53-61","Isla de la Juventud"
"53-59","Jagüey Grande"
"53-64","Jaruco"
"53-23","Jiguani"
