"Phone Code","Description"
"420-54","Brno"
"420-377","Plzen"
"420-3","Praha (Prague)"
"420-38","Region Jihocesky"
"420-39","Region Jihocesky"
"420-51","Region Jihomoravsky"
"420-53","Region Jihomoravsky"
"420-54","Region Jihomoravsky"
"420-35","Region Karlovarsky"
"420-49","Region Kralovehradecky"
"420-48","Region Liberecky"
"420-55","Region Moravskoslezsky"
"420-59","Region Moravskoslezsky"
"420-58","Region Olomoucky"
"420-46","Region Pardubicky"
"420-37","Region Plzensky"
"420-31","Region Stredocesky"
"420-32","Region Stredocesky"
"420-41","Region Ustecky"
"420-47","Region Ustecky"
"420-56","Region Vysocina"
"420-57","Region Zlinsky"
