"Phone Code","Description"
"372-46","Hiiumaa"
"372-33","Ida-Virumaa"
"372-5","Ida-Virumaa"
"372-39","Ida-Virumaa County"
"372-38","J‰rvamaa"
"372-77","Jıgevamaa"
"372-32","L‰‰ne-Virumaa"
"372-47","L‰‰nemaa"
"372-44","P‰rnumaa"
"372-79","Pılvamaa"
"372-48","Raplamaa"
"372-45","Saaremaa"
"372-60","Tallinn"
"372-61","Tallinn"
"372-62","Tallinn"
"372-63","Tallinn"
"372-64","Tallinn"
"372-65","Tallinn"
"372-66","Tallinn"
"372-67","Tallinn"
"372-68","Tallinn"
"372-69","Tallinn"
"372-71","Tallinn"
"372-73","Tartumaa"
"372-4","Tartumaa"
"372-75","Tartumaa"
"372-76","Valgamaa"
"372-43","Viljandimaa"
"372-78","Vırumaa"
