"Phone Code","Description"
"358-14","Äänekoski"
"358-6","Alajärvi"
"358-6","Alavus"
"358-2","Björneborg"
"358-19","Borgå"
"358-19","Ekenäs"
"358-9","Espoo-Esbo"
"358-3","Forssa"
"358-8","Haapajärvi"
"358-3","Hämeenlinna"
"358-19","Hangö"
"358-8","Haukipudas"
"358-3","Heinola"
"358-9","Helsingfors"
"358-9","Helsinki"
"358-5","Imatra"
"358-6","Jakobstad"
"358-14","Jämsä"
"358-13","Joensuu"
"358-14","Joutsa"
"358-14","Jyväskylä"
"358-8","Kajaani"
"358-2","Kankaanpää"
"358-6","Karleby"
"358-6","Kauhajoki"
"358-16","Kemi"
"358-16","Kemijärvi"
"358-2","Kemiö"
"358-8","Kempele"
"358-14","Keuruu"
"358-2","Kimito"
"358-6","Kokkola"
"358-3","Koski Hl"
"358-2","Koski Tl"
"358-5","Kotka"
"358-5","Kouvola"
"358-17","Kuopio"
"358-8","Kuusamo"
"358-3","Lahti"
"358-5","Lappeenranta"
"358-13","Lieksa"
"358-19","Lohja"
"358-2","Loimaa"
"358-18","Mariehamn"
"358-15","Mikkeli"
"358-16","Muonio"
"358-3","Orivesi"
"358-8","Oulu"
"358-3","Padasjoki"
"358-3","Parkano"
"358-15","Pieksämäki"
"358-2","Pori"
"358-19","Porvoo"
"358-8","Raahe"
"358-2","Rauma"
"358-3","Rouvesi"
"358-16","Rovaniemi"
"358-14","Saarijärvi"
"358-15","Savonlinna"
"358-6","Seinäjoki"
"358-17","Suonenjoki"
"358-3","Tammerfors"
"358-3","Tampere"
"358-3","Tavastehus"
"358-16","Tornio"
"358-2","Turku"
"358-8","Uleåbörg"
"358-6","Vaasa"
"358-3","Valkeakoski"
"358-3","Vammala"
"358-9","Vanda"
"358-9","Vantaa"
"358-17","Varkaus"
"358-6","Vasa"
"358-8","Ylivieska"
