"Phone Code","Description"
"995-366","Adigeni"
"995-342","Akhalgori"
"995-362","Akhalkalaki"
"995-365","Akhaltsikhe"
"995-349","Akhmeta"
"995-364","Aspindza"
"995-222","Batumi"
"995-358","Bolnisi"
"995-367","Borjomi"
"995-379","Chiatura"
"995-356","Dedoplls Tskaro"
"995-360","Dmanisi"
"995-344","Dushetl"
"995-370","Gori"
"995-353","Gurjaani"
"995-369","Kareli"
"995-371","Kaspi"
"995-345","Kazbegi"
"995-368","Khashuri"
"995-331","Kutaisi"
"995-352","Kvarell"
"995-335","Lagodekhi"
"995-357","Marneull"
"995-77","Mobile Phones - Geocell"
"995-93","Mobile Phones - Magti Com"
"995-99","Mobile Phones - Magti Com"
"995-361","Ninotsminda"
"995-396","Ozurgeti"
"995-393","Poti"
"995-335","Rustavi"
"995-351","Sagarejo"
"995-311","Samtredia"
"995-313","Senaki"
"995-355","Signagi"
"995-122","Sukhumi"
"995-32","Tbilisi"
"995-350","Telavi"
"995-359","Tetri Tskaro"
"995-348","Tianeti"
"995-340","Tskaltubo"
"995-341","Tskhinvall"
"995-363","Tzalka"
"995-392","Zestafoni"
"995-315","Zugdidi"
