"Phone Code","Description"
"49-6172","Bad Homburg"
"49-30","Berlin"
"49-228","Bonn"
"49-421","Bremen"
"49-371","Chemnitz"
"49-221","Cologne (Koln)"
"49-355","Cottbus"
"49-6151","Darmstadt"
"49-351","Dresden"
"49-211","Dusseldorf"
"49-361","Erfurt"
"49-201","Essen"
"49-69","Frankfurt am Main (west)"
"49-335","Frankfurt an der Oder (east)"
"49-365","Gera"
"49-345","Halle"
"49-40","Hamburg"
"49-511","Hanover"
"49-6221","Heidelberg"
"49-9353","Karl-Stadt"
"49-431","Kiel"
"49-261","Koblenz"
"49-341","Leipzig"
"49-391","Magdeburg"
"49-621","Mannheim"
"49-172","Mobile Phones"
"49-173","Mobile Phones"
"49-17","Mobile Phones"
"49-89","Munich"
"49-395","Neubrandenburg"
"49-911","Nurnberg"
"49-331","Potsdam"
"49-381","Rostock"
"49-38223","Saal"
"49-385","Schwerin"
"49-711","Stuttgart"
"49-611","Wiesbaden"
