"Phone Code","Description"
"30-2297","Aegina"
"30-2353","Aeginio"
"30-2691","Aegio"
"30-2295","Afidnes"
"30-2275","Ag. Kirikos"
"30-2841","Ag. Nikolaos"
"30-2293","Ag. Sotira"
"30-2894","Ag. Varvara"
"30-2494","Agia"
"30-2252","Agiasos"
"30-2641","Agrinio"
"30-2632","Aitoliko"
"30-2696","Akrata"
"30-2333","Alexandria"
"30-2551","Alexandroupoli"
"30-2268","Aliartos"
"30-2223","Aliveri"
"30-2422","Almyros"
"30-2622","Amaliada"
"30-2833","Amari"
"30-2234","Amfikleia"
"30-2642","Amfilochia"
"30-2265","Amfissa"
"30-2386","Amynteo"
"30-2624","Anc. Olympia"
"30-2626","Andritsena"
"30-2282","Andros"
"30-2244","Archagelos"
"30-2751","Argos"
"30-2671","Argostoli"
"30-2384","Aridea"
"30-2891","Arkalochori"
"30-2372","Arnea"
"30-2681","Arta"
"30-2397","Asprovalta"
"30-2755","Astros"
"30-2233","Atalanti"
"30-21","Athens"
"30-2694","Chalandritsa"
"30-2647","Chalkiopoulo"
"30-2821","Chania"
"30-2271","Chios"
"30-2391","Chlkidona"
"30-2591","Chrysoupoli"
"30-2661","Corfu"
"30-2657","Delvinaki"
"30-2553","Didymoticho"
"30-2267","Distomo"
"30-2232","Domokos"
"30-2264","Domvrena"
"30-2521","Drama"
"30-2544","Echinos"
"30-2381","Edessa"
"30-2493","Elassona"
"30-2592","Eleftheroupoli"
"30-2229","Eretria"
"30-2433","Farkadona"
"30-2491","Farsala"
"30-2555","Feres"
"30-2664","Filiates"
"30-2385","Florina"
"30-2646","Fyties"
"30-2763","Gargalianoi"
"30-2382","Giannitsa"
"30-2462","Grevena"
"30-2733","Gytheio"
"30-2221","Halkida"
"30-2325","Herakleia"
"30-2534","Iasmos"
"30-2842","Ierapetra"
"30-2377","Ierissos"
"30-2665","Igoumenitsa"
"30-281","Iraklion"
"30-2523","K. Nevrokopi"
"30-2423","Kala Nera"
"30-2432","Kalabaka"
"30-2721","Kalamata"
"30-2692","Kalavrita"
"30-2659","Kalentzi"
"30-2747","Kalianoi"
"30-2243","Kalimnos"
"30-2399","Kallikrateia"
"30-2535","Kallisti"
"30-2253","Kalloni"
"30-2235","Kam.Vourla"
"30-2684","Kanalaki"
"30-2823","Kantanos"
"30-2272","Kardamila"
"30-2441","Karditsa"
"30-2653","Karies"
"30-2245","Karpathos"
"30-2237","Karpenisi"
"30-2224","Karystos"
"30-2374","Kassandreia"
"30-2467","Kastoria"
"30-2792","Kastri"
"30-2351","Katerini"
"30-251","Kavala"
"30-2288","Kea"
"30-2742","Kiato"
"30-2341","Kilkis"
"30-2822","Kissamos"
"30-2824","Kolympari"
"30-2531","Komotini"
"30-2655","Konitsa"
"30-2765","Kopanaki"
"30-2741","Korinthos"
"30-2725","Koroni"
"30-2242","Kos"
"30-2461","Kozani"
"30-2754","Kranidi"
"30-2625","Krestena"
"30-2222","Kymi"
"30-2761","Kyparissia"
"30-2556","Kyprinos"
"30-2736","Kythira"
"30-2394","Lagadas"
"30-2393","Lagadikia"
"30-2291","Lagonisi"
"30-2231","Lamia"
"30-241","Larissa"
"30-2292","Lavrion"
"30-2623","Lechena"
"30-2645","Lefkada"
"30-2662","Lefkimi Corfu"
"30-2757","Leonidio"
"30-2247","Leros"
"30-2796","Levidi"
"30-2266","Lidoriki"
"30-2593","Limenari"
"30-2897","Limin Chersonisou"
"30-2261","Livadeia"
"30-2226","Loutra Aidipsou"
"30-2744","Loutraki"
"30-2753","Lygourgio"
"30-2236","Makrakomi"
"30-2495","Makrychori"
"30-2227","Mantoudi"
"30-2299","Markopoulo"
"30-2635","Mataraga"
"30-2791","Megalopoli"
"30-2296","Megara"
"30-2724","Meligalas"
"30-2722","Messini"
"30-2631","Messologi"
"30-2289","Mikonos"
"30-2287","Milos"
"30-2254","Mirina"
"30-2251","Mitilini"
"30-69","Mobile Phones"
"30-2892","Moires"
"30-2732","Molaoi"
"30-2373","Moudania"
"30-2445","Mouzaki"
"30-2634","Nafpaktos"
"30-2752","Nafplion"
"30-2332","Naousa"
"30-2285","Naxos"
"30-2468","Neapoli S"
"30-2734","Neapoli S"
"30-2746","Nemea"
"30-2322","Nigrita"
"30-2375","Nikitas"
"30-2552","Orestiada"
"30-2444","Palamas"
"30-2666","Paramythia"
"30-2524","Paranesti"
"30-2284","Paros"
"30-261","Patra"
"30-2834","Perama"
