"Phone Code","Description"
"36-37","Abasar"
"36-79","Baja"
"36-35","Balassagyarmat"
"36-84","Balatonaliga"
"36-66","Békéscsaba"
"36-54","Berettyóújfalu"
"36-23","Biatorbágy"
"36-1","Budapest"
"36-53","Cegléd"
"36-52","Debrecen"
"36-80","Dorgicse"
"36-25","Dunaújváros"
"36-36","Eger"
"36-33","Esztergom"
"36-99","Fertoboz"
"36-28","Gödöllo"
"36-37","Gyöngyös"
"36-96","Gyor"
"36-57","Jászberény"
"36-82","Kaposvár"
"36-59","Karcag"
"36-48","Kazincbarcika"
"36-76","Kecskemét"
"36-83","Keszthely"
"36-78","Kiskorös"
"36-77","Kiskunhalas"
"36-45","Kisvárda"
"36-72","Komlo"
"36-85","Marcali"
"36-44","Mátészalka"
"36-49","Mezokövesd"
"36-46","Miskolc"
"36-69","Mohács"
"36-29","Monor"
"36-93","Nagykanizsa"
"36-42","Nyíregyháza"
"36-68","Orosháza"
"36-48","Ózd"
"36-75","Paks"
"36-89","Pápa"
"36-72","Pécs"
"36-72","Pecsvarad"
"36-32","Salgótarján"
"36-95","Sárvár"
"36-84","Siófok"
"36-99","Sopron"
"36-62","Szeged"
"36-22","Székesfehérvár"
"36-74","Szekszárd"
"36-26","Szentendre"
"36-63","Szentes"
"36-47","Szerencs"
"36-24","Szigetszentmiklós"
"36-73","Szigetvár"
"36-56","Szolnok"
"36-94","Szombathely"
"36-87","Tapolca"
"36-34","Tatabánya"
"36-27","Vác"
"36-88","Veszprém"
"36-92","Zalaegerszeg"
