"Phone Code","Description"
"91-562","Agra"
"91-79","Ahmedabad"
"91-145","Ajmer"
"91-144","Alwar"
"91-183","Amritsar"
"91-2432","Aurangabad"
"91-80","Bangalore"
"91-2982","Barmer"
"91-265","Baroda"
"91-1462","Beawar"
"91-5644","Bharatpur"
"91-1482","Bhilwara"
"91-755","Bhopal"
"91-151","Bikaner"
"91-747","Bundi"
"91-172","Chandigarh"
"91-44","Chennai (formerly Madras)"
"91-8572","Chittorgarh"
"91-422","Coimbator"
"91-135","Dehradun"
"91-11","Delhi"
"91-6432","Deogarh"
"91-5642","Dholpur"
"91-5619","Fathepur Sikri"
"91-40","Hyderabad"
"91-141","Jaipur"
"91-181","Jullundur"
"91-512","Kanpur"
"91-33","Kolkatta (formerly Calcutta)"
"91-744","Kota"
"91-522","Lucknow"
"91-8252","Manipal"
"91-2974","Mount Abu"
"91-22","Mumbai (formerly Bombay )"
"91-1362","Mussooree"
"91-821","Mysore"
"91-1582","Nagaur"
"91-11","New Delhi"
"91-612","Patna"
"91-20","Pune (formerly Poona)"
"91-145","Pushkar"
"91-281","Rajkot"
"91-7462","Ranthambhore Natl. Park"
"91-144","Sariska"
"91-177","Simla"
"91-194","Srinagar"
"91-261","Surat"
"91-294","Udaipur"
"91-265","Vadodara"
