"Phone Code","Description"
"62-36","Bali"
"62-77","Batam"
"62-22","Betung"
"62-770","Bintan"
"62-25","Bogor"
"62-23","Cirebon"
"62-29","Demak"
"62-36","Denpasar"
"62-38","Ende"
"62-9","Irian"
"62-21","Jakarta"
"62-33","Jember"
"62-32","Jombang"
"62-5","Kalimantan Islet"
"62-39","Kupang"
"62-35","Madiun"
"62-5","Malaku Islets"
"62-34","Malang"
"62-61","Medan"
"62-6","North Sumatra"
"62-75","Padang"
"62-71","Palembang"
"62-28","Purwakarta"
"62-76","Riau"
"62-778","Sekurang"
"62-24","Semarang"
"62-27","Solo"
"62-4","Sulawesi Islet"
"62-37","Sumbawa"
"62-26","Sumedang"
"62-31","Surabaya"
"62-72","Tanjungkarang"
"62-75","West Sumatra"
"62-27","Yogyakarta"
