"Phone Code","Description"
"98-452","Ardebil"
"98-382","Bakhtiari"
"98-772","Booshehr"
"98-773","Booshehr"
"98-743","Booyerahmad"
"98-742","Booyerahmad"
"98-74","Booyerahmad"
"98-772773","Chaharmahal"
"98-842","Ealam (Ilam)"
"98-411","Eastern Azerbayajan"
"98-412","Eastern Azerbayajan"
"98-42","Eastern Azerbayajan"
"98-712","Fars"
"98-722","Fars"
"98-72","Fars"
"98-281","Ghazvin"
"98-282","Ghazvin"
"98-132","Gilan"
"98-142","Gilan"
"98-18","Gilan"
"98-173","Golestan"
"98-174","Golestan"
"98-812","Hamedan"
"98-852","Hamedan"
"98-763","Hormozgan"
"98-764","Hormozgan"
"98-311","Isfahan"
"98-322","Isfahan"
"98-32","Isfahan"
"98-342","Kerman"
"98-346","Kerman"
"98-34","Kerman"
"98-831","Kermanshah"
"98-832","Kermanshah"
"98-83","Kermanshah"
"98-612","Khoozestan"
"98-632","Khoozestan"
"98-64","Khoozestan"
"98-511","Khorasan"
"98-512","Khorasan"
"98-52","Khorasan"
"98-743","Kohgelouyeh"
"98-742","Kohgelouyeh"
"98-74","Kohgelouyeh"
"98-875","Kordestan"
"98-872","Kordestan"
"98-663","Lorestan"
"98-256","Markazi"
"98-861","Markazi"
"98-86","Markazi"
"98-111","Mazandaran"
"98-112","Mazandaran"
"98-12","Mazandaran"
"98-251","Qom"
"98-252","Qom"
"98-231","Semnan"
"98-232","Semnan"
"98-27","Semnan"
"98-452","Sistan"
"98-541","Sistan"
"98-54","Sistan"
"98-21 (Teh","Tehran"
"an City)","Tehran"
"98-443","Western Azerbayajan"
"98-444","Western Azerbayajan"
"98-46","Western Azerbayajan"
"98-352","Yazd"
"98-242","Zanjan"
