"Phone Code","Description"
"254-25","Anmer"
"254-55","Bungoma"
"254-12","Diani"
"254-53","Eldoret"
"254-68","Embu"
"254-46","Garissa"
"254-20","Gigiri"
"254-59","Homa Bay"
"254-20","Kabete"
"254-45","Kajiado"
"254-56","Kakamega"
"254-66","Karuri"
"254-52","Kericho"
"254-12","Kilfi"
"254-58","Kisii"
"254-57","Kisumu"
"254-54","Kitale"
"254-40","Kwale"
"254-12","Lamu"
"254-44","Machakos"
"254-42","Malindi"
"254-69","Marsabit"
"254-64","Meru"
"254-733","Mobile Phones - Celtel"
"254-722","Mobile Phones - Safaricom"
"254-41","Mombasa"
"254-60","Murang'a"
"254-20","Nairobi"
"254-50","Naivasha"
"254-51","Nakuru"
"254-62","Nanyuki"
"254-65","Nyahururu"
"254-61","Nyeri"
"254-67","Thika"
"254-20","Uthiru"
"254-43","Voi"
