"Phone Code","Description"
"686-33","Abaiang"
"686-31","Abaokoro, Tarawa"
"686-32","Abaokoro, Tarawa"
"686-41","Abemama"
"686-40","Aranuka"
"686-49","Arorae"
"686-21","Bairiki, Tarawa"
"686-22","Bairiki, Tarawa"
"686-23","Bairiki, Tarawa"
"686-24","Bairiki, Tarawa"
"686-37","Banaba"
"686-46","Beru"
"686-25","Betio, Tarawa"
"686-26","Betio, Tarawa"
"686-28","Bikenibeu, Tarawa"
"686-29","Bikenibeu, Tarawa"
"686-35","Butaritari"
"686-83","Fanning (Tabuaeran)"
"686-85","Kanton"
"686-81","Kiritimati"
"686-82","Kiritimati"
"686-39","Kuria"
"686-38","Maiana"
"686-36","Makin"
"686-34","Marakei"
"686-47","Nikunau"
"686-42","Nonouti"
"686-45","Onotoa"
"686-43","Tabiteuea North"
"686-44","Tabiteuea South"
"686-48","Tamana"
"686-84","Washington (Teraina)"
