"Phone Code","Description"
"965-470","Abdalli"
"965-398","Ahmadi"
"965-327","Ahmadi & Umm-Alhaiman"
"965-328","Ahmadi & Umm-Alhaiman"
"965-480","Ardhiyah"
"965-488","Ardhiyah"
"965-489","Ardhiyah"
"965-391","Fahaheel"
"965-392","Fahaheel"
"965-471","Farwaniah"
"965-472","Farwaniah"
"965-473","Farwaniah"
"965-474","Farwaniah"
"965-476","Farwaniah"
"965-461","Free Trade Zone"
"965-390","Funtas"
"965-261","Hawalli"
"965-262","Hawalli"
"965-263","Hawalli"
"965-264","Hawalli"
"965-265","Hawalli"
"965-266","Hawalli"
"965-383","Jaber Al-Ali"
"965-384","Jaber Al-Ali"
"965-531","Jabriyah"
"965-532","Jabriyah"
"965-533","Jabriyah"
"965-534","Jabriyah"
"965-477","Jahra"
"965-455","Jahra-B"
"965-456","Jahra-B"
"965-457","Jahra-B"
"965-458","Jahra-B"
"965-431","Jaleeb Al-Shuyoukh"
"965-371","Manqaf & Shuiba"
"965-372","Manqaf & Shuiba"
"965-376","Manqaf & Shuiba"
"965-538","Mushrif"
"965-224","Nuzha"
"965-251","Nuzha"
"965-252","Nuzha"
"965-253","Nuzha"
"965-254","Nuzha"
"965-255","Nuzha"
"965-256","Nuzha"
"965-257","Nuzha"
"965-258","Nuzha"
"965-259","Nuzha"
"965-541","Qurain"
"965-542","Qurain"
"965-543","Qurain"
"965-544","Qurain"
"965-571","Ras Salmiyah"
"965-572","Ras Salmiyah"
"965-573","Ras Salmiyah"
"965-574","Ras Salmiyah"
"965-575","Ras Salmiyah"
"965-394","Rekka"
"965-396","Rekka"
"965-551","Sabah Salem"
"965-552","Sabah Salem"
"965-240","Safat"
"965-241","Safat"
"965-242","Safat"
"965-243","Safat"
"965-244","Safat"
"965-245","Safat"
"965-246","Safat"
"965-247","Safat"
"965-248","Safat"
"965-249","Safat"
"965-561","Salmiyah"
"965-562","Salmiyah"
"965-563","Salmiyah"
"965-564","Salmiyah"
"965-565","Salmiyah"
"965-481","Shuwaikh"
"965-483","Shuwaikh"
"965-484","Shuwaikh"
"965-361","South Subahiyah"
"965-362","South Subahiyah"
"965-487","Sulaibikhat"
"965-467","Sulaibiyah"
"965-381","Wafra"
"965-395","Zoor"
