"Phone Code","Description"
"371-51","Aizkraukle"
"371-43","Aluksne"
"371-45","Balvi"
"371-39","Bauska"
"371-41","Cesis"
"371-54","Daugavpils"
"371-37","Dobele"
"371-44","Gulbene"
"371-52","Jekabpils"
"371-30","Jelgava"
"371-56","Kraslava"
"371-33","Kuldiga"
"371-34","Liepaja"
"371-40","Limbazi"
"371-57","Ludza"
"371-48","Madona"
"371-59","Mobile Phones"
"371-60","Mobile Phones"
"371-61","Mobile Phones"
"371-50","Ogre"
"371-53","Preili"
"371-46","Rezekne"
"371-7","Riga"
"371-28","Riga"
"371-29","Riga"
"371-38","Saldus"
"371-32","Talsi"
"371-31","Tukums"
"371-47","Valka"
"371-42","Valmiera"
"371-36","Ventspils"
