"Phone Code","Description"
"218-553","Abengawad"
"218-274","Abu Issa"
"218-551","Abuhadi"
"218-282","Agelat"
"218-282","Ajailat"
"218-454","Al Josh"
"218-272","Azizia"
"218-322","Bani Walid"
"218-22","Ben Gashir"
"218-61","Benghazi"
"218-63","Benina"
"218-732","Bergen"
"218-655","Bisher"
"218-721","Brak"
"218-529","Bugrain"
"218-425","Buzayan"
"218-523","Dafnia"
"218-625","Deriana"
"218-81","Derna"
"218-723","Edry"
"218-84","El Beida"
"218-684","Elbayada"
"218-624","Elkuwaifia"
"218-629","Elmagrun"
"218-67","Elmareg"
"218-279","Elmaya"
"218-23","Ezzaonia"
"218-733","Garda"
"218-41","Garian"
"218-484","Ghadames"
"218-724","Ghat"
"218-729","Ghrefa"
"218-623","Gmines"
"218-423","Guassem"
"218-821","Gubba"
"218-82","Haraua"
"218-271","Hashan"
"218-284","Hugialin"
"218-57","Hun"
"218-884","Jaghbub"
"218-657","Jalo"
"218-682","Jardas"
"218-627","Jerdina"
"218-281","Jmail"
"218-626","Kaalifa"
"218-481","Kabaw"
"218-524","Kasarahmad"
"218-31","Khums"
"218-427","Kikla"
"218-652","Kofra"
"218-326","Kussabat"
"218-277","Mamura"
"218-852","Massa"
"218-275","Matred"
"218-51","Misratah"
"218-51","Misuratha"
"218-422","Mizda"
"218-725","Murzuk"
"218-47","Nalut"
"218-555","Noflia"
"218-653","Ojla"
"218-453","Reyana"
"218-452","Rujban"
"218-24","Sabratha"
"218-71","Sebha"
"218-628","Seluk"
"218-851","Shahat"
"218-654","Sidi Sultan Sultan"
"218-205","Sidiessaiah"
"218-54","Sirt"
"218-854","Slenta"
"218-582","Sokna"
"218-583","Soussa"
"218-206","Suk Elkhamis"
"218-224","Swajni"
"218-26","Taigura"
"218-683","Taknes"
"218-325","Tarhuna"
"218-522","Tawergha"
"218-482","Tigi"
"218-681","Tolmitha"
"218-685","Tomina"
"218-734","Traghen"
"218-21","Tripoli"
"218-22","Tripoli International Airport"
"218-73","Ubary"
"218-726","Um Laranib"
"218-731","Wadi Atba"
"218-554","Wadi Jeref"
"218-323","Wadi Keam"
"218-581","Wodan"
"218-421","Yefren"
"218-252","Zahra"
"218-23","Zawai"
"218-727","Zawaya"
"218-526","Zawyat Elmahjub"
"218-584","Zella"
"218-521","Zliten"
"218-25","Zuara"
