"Phone Code","Description"
"370-425","Akmene"
"370-315","Alytus"
"370-381","Anyk?ciai"
"370-319","Bir?tonas"
"370-450","Bir?ai"
"370-313","Druskininkai"
"370-528","Elektrenai"
"370-386","Ignalina"
"370-349","Jonava"
"370-426","Joni?kis"
"370-447","Jurbarkas"
"370-346","Kai?iadorys"
"370-37","Kaunas"
"370-57","Kedainiai"
"370-427","Kelme"
"370-445","Kretinga"
"370-459","Kupi?kis"
"370-318","Lazdijai"
"370-343","Marijampole"
"370-443","Ma?eikiai"
"370-383","Moletai"
"370-469","Neringa"
"370-421","Pakruojis"
"370-460","Palanga"
"370-45","Paneve?ys"
"370-451","Pasvalys"
"370-448","Plunge"
"370-319","Prienai"
"370-422","Radvili?kis"
"370-428","Raseiniai"
"370-458","Roki?kis"
"370-345","?akiai"
"370-380","?alcininkai"
"370-449","?ilale"
"370-441","?ilute"
"370-382","?irvintos"
"370-387","?vencionys"
"370-446","Taurage"
"370-444","Tel?iai"
"370-528","Trakai"
"370-340","Ukmerge"
"370-389","Utena"
"370-310","Varena"
"370-342","Vilkavi?kis"
"370-521","Vilnius"
"370-386","Visaginas"
"370-385","Zarasai"
