"Phone Code","Description"
"389-33","Berovo"
"389-47","Bitola"
"389-46","Debar"
"389-33","Delchevo"
"389-47","Demir Hisar"
"389-34","Dojran"
"389-34","Gevgelija"
"389-42","Gostivar"
"389-43","Kavadarci"
"389-45","Kichevo"
"389-33","Kocani"
"389-31","Kratovo"
"389-31","Kriva Palanka"
"389-48","Krushevo"
"389-31","Kumanovo"
"389-48","Makedonski Brod"
"389-43","Negotino"
"389-46","Ohrid"
"389-33","Pehchevo"
"389-48","Prilep"
"389-32","Probistip"
"389-32","Radovish"
"389-47","Resen"
"389-32","Shtip"
"389-2","Skopje"
"389-46","Struga"
"389-34","Strumica"
"389-32","Sveti Nikole"
"389-44","Tetovo"
"389-34","Valandovo"
"389-43","Veles"
"389-33","Vinica"
