"Phone Code","Description"
"261-42","Ambatolampy"
"261-47","Ambositra"
"261-54","Ambotondrazaka"
"261-22","Antananarivo"
"261-44","Antsirabe"
"261-82","Antsiranana (Diego Suarez)"
"261-67","Antsohihy"
"261-73","Farafangana"
"261-75","Fianarantsoa"
"261-62","Mahajanga"
"261-69","Maintirano"
"261-72","Manakara"
"261-72","Mananjary"
"261-13","Mideast Region"
"261-56","Moramanga"
"261-95","Morondava"
"261-86","Nosy Be Is."
"261-57","Sainte Marie"
"261-88","Sambava"
"261-53","Toamasina"
"261-92","Tolagnaro"
"261-94","Toliaray"
