"Phone Code","Description"
"60-4","Alor Setar"
"60-3","Beranang"
"60-8","Bintulu"
"60-3","Broga"
"60-3","Cheras"
"60-3","Dengkil"
"60-5","Ipoh"
"60-7","Johor Bahru"
"60-7","Johore (state)"
"60-3","Kajang"
"60-4","Kedah"
"60-9","Kelantan (state)"
"60-4","Kepala Batas"
"60-9","Kota Bharu"
"60-8","Kota Kinabalu"
"60-3","Kuala Lumpur"
"60-9","Kuala Terengganu"
"60-9","Kuantan"
"60-8","Kuching"
"60-8","Labuan"
"60-9","Machang"
"60-9","Maran"
"60-6","Melaka (state)"
"60-8","Miri"
"60-6","Muar"
"60-6","Negeri Sembilan (state)"
"60-9","Pahang"
"60-4","Penang (state)"
"60-4","Perak (state)"
"60-4","Perlis (state)"
"60-6","Port Dickson"
"60-8","Sabah (state)"
"60-8","Sandakan"
"60-8","Sarawak (state)"
"60-3","Selangor (state)"
"60-3","Semenyih"
"60-6","Seremban"
"60-8","Sibu"
"60-4","Sintok"
"60-8","Sri Aman"
"60-3","Sungei Besi"
"60-3","Sungei Renggam"
"60-9","Terengganu (state)"
