"Phone Code","Description"
"960-45","Alif Alif"
"666","Alif Alif"
"960-668","Alif Dhaalu"
"960-23","Baa"
"960-660","Baa"
"960-46","Dhaalu"
"960-674","Faafu"
"960-51","Gaafu Alifu"
"960-682","Gaafu Alifu"
"960-52","Gaafu Dhaalu"
"960-684","Gaafu Dhaalu"
"960-54","Gnaviyani"
"960-686","Gnaviyani"
"960-20","Haa Alif"
"960-650","Haa Alif"
"960-21","Haa Dhaalu"
"960-652","Haa Dhaalu"
"960-35","Hulumale'"
"960-335","Hulumale'"
"960-44","Kaafu"
"960-664","Kaafu"
"960-47","Laamu"
"960-680","Laamu"
"960-662","Lhaviyani"
"960-31","Male'"
"960-32","Male'"
"960-32","Male'"
"960-34","Male'"
"960-331","Male'"
"960-332","Male'"
"960-333","Male'"
"960-334","Male'"
"960-672","Meemu"
"960-22","Noonu"
"960-656","Noonu"
"960-658","Raa"
"960-57","Seenu"
"960-58","Seenu"
"960-688","Seenu"
"960-689","Seenu"
"960-654","Shaviyani"
"960-678","Thaa"
"960-670","Vaavu"
"960-39","Villingili"
"960-339","Villingili"
