"Phone Code","Description"
"52-744","Acapulco"
"52-449","Aguascalientes"
"52-241","Apizaco"
"52-624","Cabo San Lucas"
"52-998","Cancun"
"52-461","Celaya"
"52-614","Chihuahua"
"52-330","Chuuk"
"52-938","Ciudad del Carmen"
"52-656","Ciudad Juarez"
"52-777","Cuernavaca"
"52-667","Culiacan"
"52-618","Durango"
"52-646","Ensenada"
"52-33","Guadalajara"
"52-662","Hermosillo"
"52-462","Irapuato"
"52-961","Ixtapa"
"52-932","Jalapa"
"52-971","Juchita"
"52-370","Kosrae"
"52-477","Leon"
"52-668","Los Mochis"
"52-871","Matamoros"
"52-669","Mazatlan"
"52-999","Merida"
"52-686","Mexicali"
"52-55","Mexico City"
"52-1","Mobile Phones"
"52-81","Monterrey"
"52-443","Morelia"
"52-631","Nogales"
"52-867","Nuevo Laredo"
"52-951","Oaxaca de Juarez"
"52-984","Playa del Carmen"
"52-320","Pohnpei"
"52-861","Progreso"
"52-222","Puebla"
"52-322","Puerto Vallarta"
"52-899","Reynosa"
"52-844","Saltillo"
"52-444","San Luis Potosi"
"52-833","Tampico"
"52-664","Tijuana"
"52-871","Torreon"
"52-229","Veracruz"
"52-993","Villahermosa"
"52-350","Yap"
