"Phone Code","Description"
"373-265","Anenii Noi"
"373-231","Balti"
"373-297","Basarabeasca"
"373-552","Bender"
"373-247","Briceni"
"373-299","Cahul"
"373-277","Cainari"
"373-244","Calarasi"
"373-216","Camenca"
"373-273","Cantemir"
"373-243","Causeni"
"373-291","Ceadîr ? Lunga"
"373-22","Chisinau"
"373-241","Cimislia"
"373-298","Comrat"
"373-248","Criuleni"
"373-219","Dnestrovsk"
"373-251","Donduseni"
"373-252","Drochia"
"373-215","Dubasari"
"373-246","Edinet"
"373-259","Falesti"
"373-250","Floresti"
"373-249","Glodeni"
"373-210","Grigoriopol"
"373-269","Hîncesti"
"373-268","Ialoveni"
"373-263","Leova"
"373-264","Nisporeni"
"373-271","Ocnita"
"373-235","Orhei"
"373-254","Rezina"
"373-555","Rîbnita"
"373-256","Rîscani"
"373-262","Sîngerei"
"373-557","Slobozia"
"373-272","Soldanesti"
"373-230","Soroca"
"373-242","Stefan Voda"
"373-237","Straseni"
"373-294","Taraclia"
"373-258","Telenesti"
"373-533","Tiraspol"
"373-236","Ungheni"
"373-293","Vulcanesti"
