"Phone Code","Description"
"264-67","Abenab"
"264-63","Aminuis"
"264-65","Anamulenge"
"264-67","Andara"
"264-67","Anker"
"264-67","Aoba"
"264-64","Arandis"
"264-63","Aranos"
"264-6642","Aranos (party line)"
"264-63","Ariamsvlei"
"264-63","Aroab"
"264-668","Asab"
"264-63","Aus"
"264-62","Babi-Babi"
"264-66","Bagani"
"264-63","Bethanie"
"264-67","Biermanskool"
"264-65","Blue Sodalite Mine"
"264-62","Blumfelde"
"264-6642","Bralano"
"264-62","Buitepos"
"264-66","Bukalo"
"264-668","Bulwana"
"264-66","Bunia"
"264-63","Dawiab"
"264-63","Deurstamp"
"264-62","Dordabis"
"264-62","Drimiopsis"
"264-65","Edundja"
"264-65","Eenhana"
"264-65","Ehomba"
"264-62","Eland"
"264-65","Elim"
"264-65","Endola"
"264-62","Epikuru"
"264-67","Epupa"
"264-65","Etanga"
"264-67","Etosha Rurtel"
"264-65","Etunda"
"264-63","Feldschuhorn"
"264-62","Friedental"
"264-63","Gaibis"
"264-67","Gam"
"264-63","Gibeon"
"264-668","Gibeon party line"
"264-63","Goageb"
"264-62","Gobabis"
"264-63","Gochas"
"264-63","Grenslyn"
"264-62","Groot ? Aub"
"264-67","Grootfontein"
"264-63","Grunau"
"264-63","Guibis"
"264-65","Haiyandja"
"264-66","Hakasembe"
"264-67","Halali"
"264-63","Hamab"
"264-63","Helmeringhausen"
"264-6362","Helmeringhausen (party line)"
"264-64","Henties Bay"
"264-63","Hoachanas"
"264-6342","Hobas"
"264-62","Hochfeld"
"264-62","Hochland"
"264-67","Horabe"
"264-62","Hosea Kutako INT Airport"
"264-66","K. Murangi"
"264-66","Kahenge"
"264-63","Kais"
"264-63","Kalahariplaas"
"264-6642","Kalahariplaas ? Party Lines"
"264-67","Kalkfeld"
"264-6642","Kalkfeld (party lines)"
"264-63","Kalkrand"
"264-67","Kamanjab"
"264-65","Kaolo Otavi"
"264-63","Karasburg"
"264-64","Karibib"
"264-66","Katima-Mulilo"
"264-63","Keetmanshoop"
"264-638","Keetmanshoop (party line)"
"264-67","KhoriXas"
"264-62","Klein Aub"
"264-63","Klein Karas"
"264-67","Klein Waterberg"
"264-63","Köes"
"264-632532","Koes (party line)"
"264-67","Kombat"
"264-66","Kongola"
"264-6638","Kumakams"
"264-65","Kunene River Lodge"
"264-64","Langstrand"
"264-64","Leoburn"
"264-62","Leonardville"
"264-67","Lindequest"
"264-63","Lorelei"
"264-63","Luderitz"
"264-63","Luderitz -Elizabeth Bay"
"264-65","Mahanene"
"264-63","Maltahohe"
"264-6638","Maltahohe (party line)"
"264-67","Mangetti duin"
"264-62","Many Hills"
"264-66","Marangi"
"264-63","Mariental"
"264-668","Mariental (party line)"
"264-67","Maroelaboom"
"264-66","Mashare"
"264-66","Matava"
"264-81","Mobile Phones"
"264-67","Mokuti"
"264-66","Mpacha"
"264-66","Muveke"
"264-66","Nakayale"
"264-63","Namasvrede"
"264-6638","Namgorab"
"264-62","Namib Grens"
"264-67","Namutoni"
"264-63","Narubis"
"264-62","Neudamm"
"264-62","Nina"
"264-66","Nkurenkuru"
"264-63","Noordoewer"
"264-62","Nouas"
"264-63","Nudaus"
"264-66","Nyangana"
"264-66","Nzinze"
"264-6342","Oabis"
"264-62","Oamites"
"264-63","Oamseb"
"264-65","Obombo"
"264-65","Odibo"
"264-65","Ogongo"
"264-65","Ohandungu"
"264-65","Ohangwena"
"264-62","Okahandja"
"264-65","Okahao"
"264-67","Okakarara"
"264-65","Okalongo"
"264-67","Okamatapati"
"264-62","Okandjatu"
"264-65","Okangwati"
"264-67","Okaputa"
"264-65","Okatope"
"264-67","Okaukuejo"
"264-65","Okorosave"
"264-67","Okurusu"
"264-65","Oluno"
"264-65","Omafu"
"264-64","Omaruru"
"264-628","Omaruru (party line)"
"264-67","Omatjene"
"264-65","Ombalantu"
"264-67","Ombika"
"264-62","Ombotozu"
"264-66","Omega"
"264-62","Omitara"
"264-62","Omitara (party line)"
"264-65","Omungwelume"
