"Phone Code","Description"
"31-20","Amsterdam"
"31-26","Arnhem"
"31-30","de Meern"
"31-73","Den Bosch"
"31-570","Deventer"
"31-40","Eindhoven"
"31-50","Groningen"
"31-23","Haarlem"
"31-23","Heemstede"
"31-10","Hillegersberg"
"31-35","Hilversum"
"31-45","Hoensbroek"
"31-50","Hoogkerk"
"31-10","Hoogvliet"
"31-30","Houten"
"31-30","IJsselstein"
"31-71","Leiden"
"31-30","Nieuwegein"
"31-24","Nijmegen"
"31-30","Oud Zuilen"
" ","Oud Zuilen is part of Utrecht"
"31-10","Rotterdam"
"31-70","The Hague (Den Haag)"
"31-30","Utrecht"
"31-73","Vught"
"31-30","Zeist"
