"Phone Code","Description"
"234-82","Aba"
"234-43","Abakaliki"
"234-39","Abeokuta"
"234-9","Abuja"
"234-30","Ado Ekiti"
"234-55","Agbor"
"234-86","Ahoada"
"234-34","Akure"
"234-56","Asaba"
"234-57","Auchi"
"234-48","Awka"
"234-71","Azare"
"234-1","Badagry"
"234-77","Bauchi"
"234-52","Benin"
"234-68","Birnin-Kebbi"
"234-87","Calabar"
"234-74","Damaturu"
"234-52","Edo"
"234-42","Enugu"
"234-72","Gombe"
"234-63","Gusau"
"234-78","Hadejia"
"234-2","Ibadan"
"234-37","Ijebu Ode"
"234-50","Ikare"
"234-36","Ile Ife"
"234-31","Ilorin"
"234-79","Jalingo"
"234-73","Jos"
"234-62","Kaduna"
"234-61","Kafanchau"
"234-64","Kano"
"234-65","Katsina"
"234-67","Kontagora"
"234-47","Lafia"
"234-1","Lagos"
"234-58","Lokoja"
"234-76","Maiduguri"
"234-44","Makurdi"
"234-66","Minna"
"234-33","New Bussa"
"234-66","Niger Sate"
"234-45","Ogoja"
"234-59","Okitipupa"
"234-46","Onitsha"
"234-35","Oshogbo"
"234-83","Owerri"
"234-51","Owo"
"234-38","Oyo"
"234-70","Pank Shin"
"234-84","Port Harcourt"
"234-54","Sapele"
"234-60","Sokobo"
"234-88","Umuahia"
"234-85","Uyo"
"234-53","Warri"
"234-41","Wukari"
"234-89","Yenegoa"
"234-75","Yola"
"234-69","Zaria"
