"Phone Code","Description"
"47-63","Akershus"
"47-64","Akershus"
"47-66","Akershus"
"47-67","Akershus"
"47-37","Aust-Agder"
"47-31","Buskerud"
"47-32","Buskerud"
"47-78","Finnmark"
"47-62","Hedmark"
"47-53","Hordaland"
"47-55","Hordaland"
"47-56","Hordaland"
"47-70","Møre og Romsdal"
"47-71","Møre og Romsdal"
"47-74","Nord-Trøndelag"
"47-75","Nordland"
"47-76","Nordland"
"47-61","Oppland"
"47-2","Oslo"
"47-69","Østfold"
"47-51","Rogaland"
"47-52","Rogaland"
"47-57","Sogn"
"47-72","Sør-Trøndelag"
"47-73","Sør-Trøndelag"
"47-35","Telemark"
"47-77","Troms"
"47-38","Vest-Agder"
"47-33","Vestfold County"
