"Phone Code","Description"
"675-34","Alotau/Daru/Kerema"
"675-64","Alotau/Daru/Kerema"
"675-95","Arawa/Rabaul"
"675-96","Arawa/Rabaul"
"675-97","Arawa/Rabaul"
"675-98","Arawa/Rabaul"
"675-70","Goroka"
"675-71","Goroka"
"675-72","Goroka"
"675-73","Goroka"
"675-74","Goroka"
"675-45","Lae and Manus/Morobe"
"675-46","Lae and Manus/Morobe"
"675-48","Lae and Manus/Morobe"
"675-49","Lae and Manus/Morobe"
"675-47","Lae/Manus"
"675-84","Madang/Wewal"
"675-85","Madang/Wewal"
"675-86","Madang/Wewal"
"675-87","Madang/Wewal"
"675-52","Mt. Hagen"
"675-53","Mt. Hagen"
"675-54","Mt. Hagen"
"675-55","Mt. Hagen"
"675-56","Mt. Hagen"
"675-30","Port Moresby"
"675-31","Port Moresby"
"675-32","Port Moresby"
"675-33","Port Moresby"
"675-35","Port Moresby"
"675-36","Port Moresby"
"675-37","Port Moresby"
"675-38","Port Moresby"
"675-39","Port Moresby"
