"Phone Code","Description"
"63-52","Albay"
"63-455","Angeles"
"63-34","Bacolod"
"63-74","Baguio City"
"63-43","Batangas"
"63-8822","Cacayan de Oro"
"63-2","Caloocan"
"63-46","Cavite"
"63-32","Cebu City"
"63-64","Cotabato"
"63-75","Dagupan"
"63-32","Dalaguete"
"63-3522","Dauin"
"63-82","Davao"
"63-3524","Dumaguete City"
"63-83","General Santos"
"63-63","Iligan City"
"63-33","Iloilo City"
"63-43","Lipa"
"63-42","Lucena"
"63-2","Manila"
"63-56","Masbate"
"63-9","Mobile Phones"
"63-5421","Naga City"
"63-88","Ozamis City"
"63-45","Pampanga"
"63-2","Pasay"
"63-48","Puerto Princesa"
"63-2","Quezon City"
"63-72","San Fernando: La Union"
"63-93","San Pablo"
"63-47","Subic Bay"
"63-53","Tacloban"
"63-452","Tarlac City"
"63-62","Zamboanga"
