"Phone Code","Description"
"48-17","32211 (manual exchange) Lancut"
"48-22","4 Grodzisk Mazowiecki"
"48-87","5 Szaflary"
"48-198","8 Lask (Sieradz)"
"48-387","8 Wadowice (Bielsko)"
"48-17","Albigowa"
"48-54","Aleksandrow Kujawski"
"48-42","Aleksandrow Lodzki"
"48-12","Alwernia"
"48-42","Andrespol"
"48-387","Andrychow"
"48-42","Andrzejow"
"48-49","Aniolowo"
"48-55","Ankamaty"
"48-64","Antonin"
"48-387","Babica"
"48-22","Babice Stare"
"48-95","Baczyna"
"48-55","Bagart (Elblag)"
"48-69","Baldowo"
"48-496","Balice"
"48-35","Balin"
"48-435","Balucz"
"48-91","Banie"
"48-58","Banino"
"48-22","Baniocha"
"48-187","Banska Dolina"
"48-187","Banska Nizna"
"48-15","Baranow Sandomierski"
"48-478","Baranowo (Ostroleka)"
"48-61","Baranowo (Poznan)"
"48-18","Barcice"
"48-52","Barcin"
"48-89","Barczewko"
"48-89","Barczewo"
"48-69","Barlozno"
"48-54","Baruchowo"
"48-387","Barwald"
"48-641","Baszkow"
"48-44","Bedzin"
"48-57","Biala Podlaska"
"48-80","Bialka (Biala Podlaska)"
"48-187","Bialka Tatrzanska (Nowy Sacz)"
"48-451","Bialobrzegi (Piotrkow Trybunal"
"48-48","Bialobrzegi (Radom)"
"48-17","Bialobrzegi (Rzeszow)"
"48-22","Bialobrzegi (Warszawa)"
"48-84","Bialobrzegi (Zamosc)"
"48-119","Bialobrzegi k/Aug (Suwalki)"
"48-94","Bialogard"
"48-165","Bialy Dunajec"
"48-85","Bialystok"
"48-33","Bielsko Biala"
"48-84","Bilgoraj"
"48-89","Biskupiec (Olsztyn)"
"48-197","Bochnia"
"48-797","Bogatynia"
"48-85","Bogdanki (Bialystok)"
"48-17","Boguchwala"
"48-71","Borowa (Wroclaw)"
"48-196","Borowa k. Mielca"
"48-506","Braniewo"
"48-33","Brenna (Bielsko Biala)"
"48-531","Brusy (Bydgoszcz)"
"48-71","Brzeg Dolny"
"48-92","Brzesko (Szczecin)"
"48-192","Brzesko (Tarnow)"
"48-67","Brzeznica (Pila)"
"48-48","Brzeznica (Radom)"
"48-197","Brzeznica (Tarnow)"
"48-146","Brzeznica Debicka"
"48-34","Brzeznica n/Warta (Czestochowa"
"48-18","Bukowina Tatrzanska"
"48-52","Busko Zdroj"
"48-32","Bydgoszcz"
"48-52","Bydgoszcz"
"48-32","Bytom"
"48-82","Bytom"
"48-56","Chelmza"
"48-187","Chocholow"
"48-531","Chojnice (Bydgoszcz)"
"48-76","Chojnow (Legnica)"
"48-32","Chorzow"
"48-95","Choszczno"
"48-23","Ciechanow"
"48-54","Ciechocinek"
"48-33","Cieszyn"
"48-12","Crakow (Krakow)"
"48-17","Czarna (Rzeszow)"
"48-146","Czarna (Tarnow)"
"48-69","Czarna Woda"
"48-187","Czarny Dunajec"
"48-32","Czechowice"
"48-531","Czechowice Dziedzice"
"48-34","Czestochowa"
"48-187","Czorsztyn"
"48-171","Czudec (Rzeszow)"
"48-255","Dabie (Siedlce)"
"48-146","Dabrowa Gornicza"
"48-14","Dabrowa Tarnowska"
"48-94","Debki (Koszalin)"
"48-41","Debno (Kielce)"
"48-962","Debno Lub."
"48-89","Dobre Miasto"
"48-68","Drzonkow"
"48-74","Dzierzoniow"
"48-50","Elblag"
"48-87","Elk"
"48-506","Frombork"
"48-58","Gdansk"
"48-58","Gdynia"
"48-878","Gizycko"
"48-32","Gliwice"
"48-76","Gliwice"
"48-17","Glogow Malopolski (Rzeszow)"
"48-794","Glogowek"
"48-66","Gniezno"
"48-91","Goleniow"
"48-56","Golub-Dobrzyn"
"48-18","Gorlice"
"48-95","Gorzow Wielkopolski"
"48-65","Gostyn (Katowice)"
"48-928","Gostyn (Szczecin)"
"48-657","Gostyn Poznanski"
"48-868","Grajewo"
"48-51","Grudziadz"
"48-18","Grybow"
"48-931","Gryfice"
"48-91","Gryfino"
"48-58","Hel"
"48-536","Inowroclaw"
"48-131","Iwonicz"
"48-131","Iwonicz Zdroj"
"48-187","Jablonka Orawska"
"48-16","Janow Lubelski"
"48-646","Jarocin (Kalisz)"
"48-16","Jarocin (Tarnobrzeg)"
"48-194","Jaroslaw (Przemysl)"
"48-136","Jaslo"
"48-58","Jastarnia"
"48-36","Jastrzebie (Katowice)"
"48-511","Jastrzebie (Torun)"
"48-36","Jastrzebie Zdroj (Katowice)"
"48-76","Jawor"
"48-35","Jaworzno"
"48-498","Jedrzejow (Kielce)"
"48-256","Jedrzejow (Siedlce)"
"48-71","Jelcz (Wroclaw)"
"48-71","Jelcz Laskowice"
"48-75","Jelenia Gora"
"48-30","Jelesnia"
"48-187","Jordanow (Nowy Sacz)"
"48-725","Jordanow (Wroclaw)"
"48-62","Kalisz"
"48-387","Kalwaria Zebrzydowska"
"48-928","Kamien Pomorski"
"48-94","Karczew (Warszawa)"
"48-75","Karpacz"
"48-32","Kartuzy"
"48-32","Katowice"
"48-71","Katowice"
"48-794","Kedzierzyn-Kozle"
"48-647","Kepno"
"48-381","Kety"
"48-41","Kielce"
"48-34","Klobuck"
"48-58","Klodawa (Gdansk)"
"48-95","Klodawa (Gorzow)"
"48-636","Klodawa (Konin)"
"48-35","Klucze"
"48-376","Klucze"
"48-136","Knurow"
"48-17","Kolbuszowa"
"48-86","Kolno (Lomza)"
"48-636","Kolo"
