"Phone Code","Description"
"40-258","Abrud"
"40-237","Adjud"
"40-241","Agigea"
"40-269","Agnita"
"40-258","Aiud"
"40-258","Alba Iulia"
"40-259","Alesd"
"40-247","Alexandria"
"40-243","Amara"
"40-264","Apahida"
"40-257","Arad"
"40-234","Asau"
"40-269","Avrig"
"40-269","Axente Sever"
"40-244","Azuga"
"40-244","Baba Ana"
"40-240","Babadag"
"40-250","Babeni"
"40-234","Bacau"
"40-254","Bacia"
"40-262","Baia Mare"
"40-262","Baia Sprie"
"40-244","Baicoi"
"40-248","Baiculesti"
"40-259","Baile Felix"
"40-250","Baile Govora"
"40-255","Baile Herculane"
"40-250","Baile Olanesti"
"40-251","Bailesti"
"40-249","Bals"
"40-241","Baneasa"
"40-244","Banesti"
"40-243","Barcanesti (judetz: Ialomitza)"
"40-244","Barcanesti (judetz: Prahova)"
"40-267","Barcani"
"40-241","Basarabi"
"40-248","Bascov"
"40-263","Beclean"
"40-259","Beius"
"40-233","Bicaz"
"40-245","Bilciuresti"
"40-251","Birca"
"40-235","Birlad"
"40-263","Bistrita"
"40-258","Blaj"
"40-255","Bocsa Româna"
"40-244","Boldesti - Scaieni"
"40-246","Bolintin Vale"
"40-231","Botosani"
"40-254","Brad"
"40-231","Braesti"
"40-239","Braila"
"40-268","Bran"
"40-2179","Branesti"
"40-254","Branisca"
"40-268","Brasov"
"40-244","Breaza"
"40-255","Brebu"
"40-254","Bretea Româna"
"40-250","Brezoi"
"40-231","Bucecea"
"40-244","Bucov"
"40-254","Bucuresci"
"40-21","Bucuresti (Bucharest)"
"40-2179","Buftea"
"40-234","Buhoci"
"40-234","Buhusi"
"40-244","Busteni"
"40-238","Buzau"
"40-256","Buzias"
"40-250","Caciulata"
"40-251","Calafat"
"40-254","Calan"
"40-242","Calarasi"
"40-250","Calimanesti"
"40-246","Calugareni"
"40-241","Cap Aurora"
"40-249","Caracal"
"40-255","Caransebes"
"40-261","Carei"
"40-241","Carpinis"
"40-234","Casin"
"40-241","Castelu"
"40-265","Catau Ludus"
"40-233","Ceahlau"
"40-260","Cehu Silvaniei"
"40-251","Cerat"
"40-241","Cerna Voda"
"40-254","Certeju De Sus"
"40-257","Chisineu Cris"
"40-258","Cimpeni"
"40-264","Cimpia Turzii"
"40-244","Cimpina"
"40-230","Cimpulung Moldovenesc"
"40-248","Cimpulung Muscel"
"40-269","Cisnadie"
"40-264","Cluj - Napoca"
"40-241","Cochirleni"
"40-268","Codlea"
"40-248","Colibasi"
"40-234","Comanesti"
"40-244","Comarnic"
"40-241","Constanta"
"40-269","Copsa Mica"
"40-249","Corabia"
"40-248","Corbeni"
"40-241","Corbu"
"40-244","Cornu"
"40-243","Cosereni"
"40-248","Costesti"
"40-241","Costinesti"
"40-232","Cotnari"
"40-267","Covasna"
"40-251","Craiova"
