"Phone Code","Description"
"966-17","Abha"
"966-13","Abqaiq"
"966-13","Al Khobar"
"966-12","Al Markazi"
"966-11","Al Ulaya"
"966-13","Anak"
"966-16","Bukayriyah"
"966-13","Dammam"
"966-13","Damman"
"966-13","Dhahran (Aramco)"
"966-16","Hail"
"966-12","Hawiyah"
"966-11","Hawtah"
"966-13","Hofuf"
"966-12","Jeddah"
"966-13","Jubail"
"966-13","Khafji"
"966-17","Khamis Mushait"
"966-11","Layla"
"966-14","Madinah"
"966-12","Makkah"
"966-12","Makkah (Mecca)"
"966-14","Medin"
"966-14","Medina Region"
"966-11","Mubarraz"
"966-17","Najran"
"966-16","Qassim Region"
"966-13","Qatif"
"966-13","Qedieyeh"
"966-12","Rabigh"
"966-13","Ras Tanurah"
"966-11","Riyadh"
"966-13","Safwa"
"966-11","Shaqra"
"966-13","Sihat"
"966-17","Southern Region"
"966-14","Tabouk"
"966-12","Taif"
"966-13","Tarut Island - Mina and Darin"
"966-14","Yanbou"
