"Phone Code","Description"
"421-48","Banská Bystrica"
"421-54","Bardejov"
"421-2","Bratislava"
"421-31","Dunajská Streda"
"421-57","Humenné"
"421-55","Ko?ice"
"421-36","Levice 36"
"421-44","Liptovský Mikulá?"
"421-47","Lucenec"
"421-43","Martin"
"421-56","Michalovce"
"421-37","Nitra"
"421-35","Nové Zámky"
"421-52","Poprad"
"421-42","Pova?ská Bystrica"
"421-51","Pre?ov"
"421-46","Prievidza"
"421-58","Ro?nava"
"421-34","Senica"
"421-53","Spi?ská Nová Ves"
"421-38","Topol'cany"
"421-32","Trencín"
"421-33","Trnava"
"421-41","?ilina"
"421-45","Zvolen"
