"Phone Code","Description"
"34-981","A Coruña"
"34-945","Alava"
"34-967","Albacete"
"34-96","Alicante"
"34-950","Almeria"
"34-985","Asturias"
"34-920","Avila"
"34-924","Badajoz"
"34-971","Baleares"
"34-93","Barcelona"
"34-94","Bilbao"
"34-947","Burgos"
"34-927","Caceres"
"34-956","Cadiz"
"34-942","Cantabria"
"34-964","Castellon"
"34-952","Ceuta"
"34-957","Cordoba"
"34-969","Cuenca"
"34-972","Girona"
"34-958","Granada"
"34-949","Guadalajara"
"34-943","Guipuzcoa"
"34-959","Huelva"
"34-974","Huesca"
"34-93","Igualada"
"34-953","Jaen"
"34-941","La Rioja"
"34-928","Las Palmas"
"34-928","Las Palmas de Gran Canaria"
"34-987","Leon"
"34-973","Lerida"
"34-982","Lugo"
"34-91","Madrid"
"34-95","Malaga"
"34-952","Melilla"
"34-968","Murcia"
"34-948","Navarra"
"34-988","Orense"
"34-979","Palencia"
"34-971","Palma De Mallorca"
"34-948","Pamplona"
"34-986","Pontevedra"
"34-923","Salamanca"
"34-922","Santa Cruz de Tenerife"
"34-942","Santander"
"34-921","Segovia"
"34-95","Seville"
"34-954","Soria"
"34-977","Tarragona"
"34-922","Tenerife"
"34-925","Toledo"
"34-952","Torremolinos"
"34-978","Turuel"
"34-96","Valencia"
"34-983","Valladolid"
"34-94","Vizcaya"
"34-980","Zamora"
"34-976","Zaragoza"
