"Phone Code","Description"
"94-97","Ambalangoda"
"94-63 + 4 digits","Ampara"
"94-25 + 4 digits","Anuradhapura"
"94-36 + 5 digits","Avissawella"
"94-55 + 4 digits","Badulla"
"94-57 + 4 digits","Bandarawella"
"94-65 + 4 digits","Batticaloa"
"94-32 + 4 digits","Chilaw"
"94-9 + 5 digits","Galle"
"94-33 + 5 digits","Gampaha"
"94-47 + 5 digits","Hambantota"
"94-51 + 5 digits","Hatton"
"94-21 + 4 digits","Jaffna"
"94-67 + 4 digits","Kalmunai"
"94-34 + 5 digits","Kalutara"
"94-8 + 6 digits","Kandy"
"94-8","Katagastota"
"94-35 + 4 digits","Kegalle"
"94-37 + 5 digits","Kurunegala"
"94-23 + 4 digits","Mannar"
"94-66 + 4 digits","Matale"
"94-41 + 5 digits","Mathara"
"94-542 + 4 digits","Nawalapitiya"
"94-31 + 4 digits","Negambo"
"94-52 + 4 digits","Nuwara Eliya"
"94-34","Panadura"
"94-27 + 4 digits","Polonnaruwa"
"94-45 + 4 digits","Ratnapura"
"94-26 + 5 digits","Trincomalee"
"94-24 + 5 digits","Vavuniya"
