"Phone Code","Description"
"268-5 digits with no Cit","All other points"
"268-452","Bhunya"
"268-453","Bhunya"
"268-363","Big Bend"
"268-364","Big Bend"
"268-217","Hlathikulu"
"268-227","Hluthi"
"268-416","Lobamba"
"268-548","Ludzeludze"
"268-237","Mahamba"
"268-472","Mahwalala"
"268-528","Malkerns"
"268-538","Mankayane"
"268-505","Manzini"
"268-506","Manzini"
"268-373","Maphiveni"
"268-517","Matsapha"
"268-518","Matsapha"
"268-404","Mbabane"
"268-405","Mbabane"
"268-406","Mbabane"
"268-467","Mhlambanyatsi"
"268-312","Mhlume"
"268-313","Mhlume"
"268-333","Mpaka"
"268-442","Ngwenya"
"268-207","Nhlangano"
"268-303","Nsoko"
"268-437","Pigg's Peak"
"268-422","Sidwashini"
"268-382","Simunye"
"268-383","Simunye"
"268-482","Siphocosini"
"268-344","Siphofaneni"
"268-343","Siteki"
"268-322","Tshaneni"
"268-323","Tshaneni"
"268-67","Villaverde de Guadalimar"
