"Phone Code","Description"
"46-271","Alfta-Edsbyn"
"46-322","Alingsås-Vårgårda"
"46-476","Älmhult"
"46-174","Alunda"
"46-251","Älvdalen"
"46-472","Alvesta-Rydaholm"
"46-929","Älvsbyn"
"46-532","Åmål"
"46-690","Ånge"
"46-431","Ängelholm-Båstad"
"46-589","Arboga"
"46-647","Åre-Järpen"
"46-573","Årjäng"
"46-961","Arjeplog"
"46-960","Arvidsjaur"
"46-570","Arvika"
"46-474","Åseda-Lenhovda"
"46-941","Åsele"
"46-583","Askersund"
"46-120","Åtvidaberg"
"46-226","Avesta-Krylbo"
"46-624","Backe"
"46-915","Bastuträsk"
"46-531","Bengtsfors"
"46-652","Bergsjö"
"46-662","Björna"
"46-932","Bjurholm"
"46-921","Boden"
"46-278","Bollnäs"
"46-33","Borås"
"46-243","Borlänge"
"46-693","Bräcke-Gällö"
"46-661","Bredbyn"
"46-914","Burträsk"
"46-912","Byske"
"46-571","Charlottenberg-Åmotfors"
"46-552","Deje"
"46-653","Delsbo"
"46-942","Dorotea"
"46-534","Ed"
"46-381","Eksjö"
"46-471","Emmaboda"
"46-171","Enköping"
"46-16","Eskilstuna-Torshälla"
"46-413","Eslöv-Höör"
"46-223","Fagersta-Norberg"
"46-346","Falkenberg"
"46-515","Falköping"
"46-23","Falun"
"46-528","Färgelanda"
"46-590","Filipstad"
"46-122","Finspång"
"46-585","Fjugesta-Svartå"
"46-157","Flen-Malmköping"
"46-645","Föllinge"
"46-943","Fredrika"
"46-258","Furudal"
"46-672","Gäddede"
"46-241","Gagnef-Floda"
"46-970","Gällivare"
"46-493","Gamleby"
"46-26","Gävle-Sandviken"
"46-371","Gislaved-Anderstorp"
"46-158","Gnesta"
"46-31","Göteborg"
"46-498","Gotland"
"46-390","Gränna"
"46-514","Grästorp"
"46-525","Grebbestad"
"46-555","Grums"
"46-551","Gullspång"
"46-563","Hagfors-Munkfors"
"46-975","Hakkas"
"46-591","Hällefors-Grythyttan"
"46-643","Hallen-Oviken"
"46-582","Hallsberg"
"46-220","Hallstahammar-Surahammar"
"46-175","Hallstavik-Rimbo"
"46-35","Halmstad"
"46-696","Hammarstrand"
"46-644","Hammerdal"
"46-922","Haparanda"
"46-928","Harads"
"46-611","Härnösand"
"46-451","Hässleholm"
"46-684","Hede-Funäsdalen"
"46-225","Hedemora-Säter"
"46-291","Hedesunda-Österfärnebo"
"46-42","Helsingborg-Höganäs"
"46-513","Herrljunga"
"46-301","Hindås"
"46-503","Hjo"
"46-290","Hofors-Storvik"
"46-415","Hörby"
"46-671","Hoting"
"46-650","Hudiksvall"
"46-495","Hultsfred-Virserum"
"46-663","Husum"
"46-345","Hyltebruk-Torup"
"46-253","Idre-Särna"
"46-971","Jokkmokk"
"46-36","Jönköping-Huskvarna"
"46-916","Jörn"
"46-621","Junsele"
"46-923","Kalix"
"46-480","Kalmar"
"46-294","Karlholmsbruk-Skärplinge"
"46-505","Karlsborg"
"46-454","Karlshamn-Olofström"
"46-586","Karlskoga-Degerfors"
"46-455","Karlskrona"
"46-54","Karlstad"
"46-150","Katrineholm"
"46-554","Kil"
"46-320","Kinna"
"46-980","Kiruna"
"46-494","Kisa"
"46-435","Klippan-Perstorp"
"46-221","Köping"
"46-580","Kopparberg"
"46-977","Korpilombolo"
"46-612","Kramfors"
"46-44","Kristianstad"
"46-550","Kristinehamn"
"46-640","Krokom"
"46-303","Kungälv"
"46-300","Kungsbacka"
"46-227","Kungsör"
"46-430","Laholm"
"46-925","Lakaträsk"
"46-418","Landskrona-Svalöv"
"46-584","Laxå"
"46-247","Leksand-Insjön"
"46-302","Lerum"
"46-478","Lessebo"
"46-692","Liden"
"46-510","Lidköping"
"46-581","Lindesberg"
"46-13","Linköping"
"46-642","Lit"
"46-372","Ljungby"
"46-651","Ljusdal"
"46-657","Los"
"46-913","Lövånger"
"46-240","Ludvika-Smedjebacken"
"46-920","Luleå"
"46-46","Lund"
"46-950","Lycksele"
"46-523","Lysekil"
"46-953","Malå"
"46-40","Malmö"
"46-280","Malung"
"46-496","Mariannelund"
"46-159","Mariefred"
"46-501","Mariestad"
"46-433","Markaryd-Strömsnäsbruk"
"46-530","Mellerud"
"46-142","Mjölby-Skänninge-Boxholm"
"46-553","Molkom"
"46-499","Mönsterås"
"46-250","Mora-Orsa"
"46-141","Motala"
"46-392","Mullsjö"
"46-524","Munkedal"
"46-622","Näsåker"
"46-380","Nässjö"
"46-587","Nora"
"46-930","Nordmaling"
"46-11","Norrköping"
"46-176","Norrtälje"
"46-918","Norsjö"
"46-481","Nybro"
"46-155","Nyköping-Oxelösund"
"46-297","Ockelbo-Hamrånge"
"46-144","Ödeshög"
"46-485","Öland"
"46-295","Örbyhus-Dannemora"
"46-19","Örebro-Kumla"
"46-173","Öregrund-Östhammar"
"46-660","Örnsköldsvik"
"46-304","Orust-Tjörn"
"46-479","Osby"
"46-491","Oskarshamn-Högsby"
"46-63","Östersund"
"46-926","Överkalix"
"46-927","Övertorneå"
"46-978","Pajala"
"46-911","Piteå"
"46-973","Porjus"
"46-623","Ramsele"
"46-924","Råneå"
"46-682","Rätan"
"46-248","Rättvik"
"46-934","Robertsfors"
"46-457","Ronneby"
"46-459","Ryd"
"46-533","Säffle"
"46-224","Sala-Heby"
"46-382","Sävsjö"
"46-414","Simrishamn"
"46-416","Sjöbo"
"46-511","Skara-Götene"
"46-910","Skellefteå"
"46-222","Skinnskatteberg"
"46-500","Skövde"
"46-270","Söderhamn"
"46-121","Söderköping"
"46-620","Sollefteå"
"46-456","Sölvesborg-Bromölla"
"46-952","Sorsele"
"46-8","Stockholm"
"46-951","Storuman"
"46-152","Strängnäs"
"46-526","Strömstad"
"46-670","Strömsund"
"46-695","Stugun"
"46-60","Sundsvall-Timrå"
"46-565","Sunne"
"46-246","Svärdsjö-Enviken"
"46-680","Sveg"
"46-325","Svenljunga-Tranemo"
"46-687","Svenstavik"
"46-564","Sysslebäck"
"46-954","Tärnaby"
"46-292","Tärnsjö-Östervåla"
"46-504","Tibro"
"46-502","Tidaholm"
"46-293","Tierp-Söderfors"
"46-477","Tingsryd"
"46-417","Tomelilla"
"46-506","Töreboda-Hova"
"46-691","Torpshammar"
"46-486","Torsås"
"46-560","Torsby"
"46-140","Tranås"
"46-410","Trelleborg"
"46-520","Trollhättan"
"46-156","Trosa-Vagnhärad"
"46-522","Uddevalla"
"46-613","Ullånger"
"46-321","Ulricehamn"
"46-90","Umeå"
"46-18","Uppsala"
"46-143","Vadstena"
"46-393","Vaggeryd"
"46-123","Valdemarsvik"
"46-521","Vänersborg"
"46-935","Vännäs"
"46-281","Vansbro"
"46-512","Vara-Nossebro"
"46-340","Varberg"
"46-370","Värnamo"
"46-21","Västerås"
"46-490","Västervik"
"46-470","Växjö"
"46-383","Vetlanda"
"46-125","Vikbolandet"
"46-940","Vilhelmina"
"46-492","Vimmerby"
"46-933","Vindeln"
"46-151","Vingåker"
"46-981","Vittangi"
"46-976","Vuollerim"
"46-411","Ystad"
