"Phone Code","Description"
"41-62","Ammerswil (Aarau)"
"41-41","Andermatt"
"41-81","Arosa"
"41-56","Baden"
"41-61","Basel"
"41-91","Bellinzona"
"41-31","Berne"
"41-32","Biel (Bienne)"
"41-91","Chiasso"
"41-27","Crans-sur-Sierre"
"41-81","Davos"
"41-26","Fribourg"
"41-22","Geneva"
"41-24","Gryon (Yverdon-les-Bains)"
"41-33","Gstaad"
"41-33","Interlaken"
"41-81","Klosters"
"41-32","La Chaux-de-Fonds"
"41-21","Lausanne"
"41-33","Lenk im Simmental"
"41-91","Locarno"
"41-41","Lucerne"
"41-91","Lugano"
"41-21","Montreux"
"41-32","Neuchatel"
"41-33","Obewil im Simmental"
"41-52","Schaffhausen"
"41-71","St. Gallen"
"41-81","St. Moritz"
"41-21","Vevey"
"41-33","Wengen"
"41-52","Winterthur"
"41-27","Zermatt"
"41-41","Zug"
"41-43","Zurich"
