"Phone Code","Description"
"963-11","Adra"
"963-21","Al-Bab"
"963-51","Al-Boukamal"
"963-41","Al-Daliyah"
"963-11","Al-Dimas"
"963-11","Al-Fijeh"
"963-41","Al-Hafa"
"963-11","Al-Hameh"
"963-15","Al-Hrak"
"963-11","Al-Jalaa"
"963-53","Al-Kameshli"
"963-31","Al-Karyatein"
"963-52","Al-Kasaka"
"963-11","Al-Kessweh"
"963-41","Al-Kurdahah"
"963-31","Al-Kusseir"
"963-23","Al-Maara"
"963-31","Al-Mauhatta"
"963-51","Al-Mayadin"
"963-11","Al-Midan"
"963-31","Al-Mokharam"
"963-31","Al-Naserah"
"963-11","Al-Nassr"
"963-22","Al-Rakkah"
"963-31","Al-Rastan"
"963-11","Al-Tel"
"963-11","Al-Thawra"
"963-31","Al-Waar"
"963-11","Al-Yarmook"
"963-21","Aleppo"
"963-52","Alhasakah"
"963-53","Amouda"
"963-21","Ansari"
"963-23","Ariha"
"963-11","Bab Charqui"
"963-11","Baghdad"
"963-43","Banias"
"963-11","Barzeh"
"963-41","Basit"
"963-11","Bebila"
"963-41","Beit Yashoot"
"963-13","Bloudan"
"963-15","Boussra"
"963-43","Chik Badr"
"963-15","Chik Meskin"
"963-33","Citadel"
"963-41","Côte d'Azur and Ras Al-Basit"
"963-15","Daal"
"963-11","Damascus"
"963-23","Dana"
"963-15","Dara"
"963-11","Darayah"
"963-12","Deir Athieh"
"963-51","Deir Ezzour"
"963-53","Derbasiah"
"963-11","Douma"
"963-11","Doumeir"
"963-11","Doummar"
"963-43","Dreikish"
"963-23","Edleb"
"963-21","Efrin"
"963-25","Ein Arab"
"963-12","Ein Hour"
"963-15","Ghazalah"
"963-33","Hama"
"963-21","Hamadaniyah"
"963-21","Hanano"
"963-11","Harastah"
"963-23","Harem"
"963-31","Homs"
"963-21","Izazz"
"963-15","Izraa"
"963-11","J. Artouz"
"963-33","Jamiliyah"
"963-25","Jarabless"
"963-11","Jaramanah"
"963-15","Jasem"
"963-41","Jebleh"
"963-12","Jerood"
"963-23","Jesr Cheghour"
"963-11","Kafar Sousseh"
"963-23","Kafar Takharin"
"963-12","Kara"
"963-41","Kasab"
"963-11","Katana"
"963-21","Khan Wazir"
"963-16","Kuraya"
"963-12","Kuteifeh"
"963-33","Kuwatly"
"963-41","Lattakia"
"963-41","Lattakiah"
"963-12","Maaloula"
"963-23","Maar Tamsareen"
"963-33","Mahatta"
"963-53","Malekiha"
"963-43","Mashta"
"963-33","Matmyah"
"963-25","Menbej"
"963-33","Messiaf"
"963-11","Mezzeh"
"963-33","Mharda"
"963-11","Mouhajerin"
"963-11","Nashabieh"
"963-12","Nebek"
"963-34","Palmyra"
"963-14","Quneitra"
"963-52","Raas Al-Ein"
"963-12","Ruheibeh"
"963-11","Rukn Edin"
"963-21","Sabil"
"963-21","Safirah"
"963-43","Safita"
"963-16","Salkhad"
"963-23","Salkin"
"963-15","Sanamein"
"963-23","Sarakeb"
"963-11","Sednaya"
"963-11","Sehnayah"
"963-16","Shahbah"
"963-31","Sheen"
"963-33","Skelbya and Madikk"
"963-21","Sleimaniyah"
"963-41","Sleinfah"
"963-33","Souran and Kamhana"
"963-16","Sweidaa"
"963-15","Tafass"
"963-31","Taldo"
"963-43","Tartous"
"963-22","Tel Abiad"
"963-21","Tel Refat"
"963-33","Tel Salhab"
"963-31","Tel-Kalakh"
"963-31","Telbisseh"
"963-41","Tesshrin"
"963-12","Yabrood"
"963-13","Zabadani"
"963-11","Zamalkah"
