"Phone Code","Description"
"676-50","Eua"
"676-60","Ha'apai Group"
"676-69","Ha'apai Group"
"676-33","Kolonga"
"676-34","Kolonga"
"676-41","Masilamea"
"676-42","Masilamea"
"676-43","Matangiake"
"676-44","Matangiake"
"676-31","Mua"
"676-32","Mua"
"676-35","Nakolo"
"676-36","Nakolo"
"676-70","Neiafu"
"676-71","Neiafu"
"676-74","Neiafu"
"676-79","Neiafu"
"676-80","Niuafo'ou"
"676-85","Niuatoputapu"
"676-20","Nuku'alofa"
"676-21","Nuku'alofa"
"676-22","Nuku'alofa"
"676-23","Nuku'alofa"
"676-24","Nuku'alofa"
"676-25","Nuku'alofa"
"676-26","Nuku'alofa"
"676-27","Nuku'alofa"
"676-28","Nuku'alofa"
"676-29","Pea"
"676-30","Pea"
"676-37","Vaini"
"676-38","Vaini"
