"Phone Code","Description"
"216-4","Agareb"
"216-1","Ariana"
"216-8","Beja"
"216-1","Ben Arous"
"216-2","Bizerte"
"216-1","Carthage"
"216-9","Cell phones"
"216-4","Chebba"
"216-5","Gabes"
"216-6","Gafsa"
"216-7","Haffouz"
"216-3","Hamman-Sousse"
"216-8","Jendouba"
"216-7","Kairouan"
"216-7","Kasserine"
"216-5","Kebili"
"216-8","Kef"
"216-3","Khenis"
"216-8","La Kef"
"216-3","Mahdia"
"216-5","Medenine"
"216-3","Monastir"
"216-2","Nabeul"
"216-4","Sfax"
"216-6","Sidi Bouzid"
"216-8","Siliana"
"216-3","Sousse"
"216-8","Tabarka"
"216-5","Tataouine"
"216-6","Tozeur"
"216-1","Tunis"
"216-2","Zaghouan"
