"Phone Code","Description"
"90-322","Adana"
"90-264","Adapazari"
"90-416","Adiyaman"
"90-272","Afyon"
"90-472","Agri"
"90-382","Aksaray"
"90-358","Amasya"
"90-312","Ankara"
"90-242","Antalya"
"90-478","Ardahan"
"90-466","Artvin"
"90-256","Aydin"
"90-266","Balikesir"
"90-378","Bartin"
"90-488","Batman"
"90-458","Bayburt"
"90-228","Bilecik"
"90-426","Bingol"
"90-434","Bitus"
"90-374","Bolu"
"90-248","Burdur"
"90-224","Bursa"
"90-286","Canakkale"
"90-376","Cankiri"
"90-364","Corum"
"90-258","Denizli"
"90-412","Diyarbakir"
"90-284","Edirne"
"90-424","Elazig"
"90-446","Erzincan"
"90-442","Erzurum"
"90-222","Eskisehir"
"90-342","Gaziantep"
"90-454","Giresun"
"90-456","Gumushane"
"90-438","Hakkari"
"90-326","Hatay"
"90-324","Icel (Mersin)"
"90-476","Igdir"
"90-246","Isparta"
"90-216","Istanbul Asya (Asia side)"
"90-212","Istanbul Avrupa (Europe side)"
"90-232","Izmir"
"90-262","Izmit"
"90-344","Kahramanmaras"
"90-338","Karaman"
"90-474","Kars"
"90-366","Kastamonu"
"90-352","Kayseri"
"90-318","Kirikkale"
"90-288","Kirklareli"
"90-386","Kirsehir"
"90-262","Kocaeli"
"90-332","Konya"
"90-274","Kutahya"
"90-422","Malatya"
"90-236","Manisa"
"90-482","Mardin"
"90-252","Mugla"
"90-436","Mus"
"90-384)","Nevsehir"
"90-388","Nigde"
"90-452","Ordu"
"90-464","Rize"
"90-264","Sakarya"
"90-362","Samsun"
"90-414","Sanliurfa"
"90-484","Siirt"
"90-368","Sinop"
"90-486","Sirnak"
"90-346","Sivas"
"90-282)","Tekirdag"
"90-356","Tokat"
"90-462","Trabzon"
"90-428","Tunceli"
"90-276)","Usak"
"90-432","Van"
"90-226","Yalova"
"90-354","Yozgat"
"90-372","Zonguldak"
