"Phone Code","Description"
"1-325","Abilene"
"1-330","Akron"
"1-234","Akron"
"1-518","Albany"
"1-229","Albany"
"1-957","Albuquerque"
"1-505","Albuquerque"
"1-320","Alexandria"
"1-730","Alton"
"1-618","Alton"
"1-657","Anaheim"
"1-909","Anaheim"
"1-752","Anaheim"
"1-714","Anaheim"
"1-907","Anchorage"
"1-734","Ann Arbor"
"1-278","Ann Arbor"
"1-703","Arlington"
"1-571","Arlington"
"1-828","Asheville"
"1-606","Ashland"
"1-404","Atlanta"
"1-770","Atlanta"
"1-678","Atlanta"
"1-470","Atlanta"
"1-609","Atlantic City"
"1-762","Augusta"
"1-706","Augusta"
"1-331","Aurora"
"1-737","Austin"
"1-512","Austin"
"1-667","Baltimore"
"1-443","Baltimore"
"1-410","Baltimore"
"1-225","Baton Rouge"
"1-425","Bellevue"
"1-360","Bellingham"
"1-240","Bethesda"
"1-610","Bethlehem"
"1-484","Bethlehem"
"1-835","Bethlehem"
"1-406","Billings"
"1-228","Biloxi"
"1-659","Birmingham"
"1-205","Birmingham"
"1-952","Bloomington"
"1-208","Boise"
"1-857","Boston"
"1-617","Boston"
"1-802","Brattleboro"
"1-631","Brentwood"
"1-203","Bridgeport"
"1-475","Bridgeport"
"1-718","Brooklyn"
"1-347","Brooklyn"
"1-979","Bryan"
"1-818","Burbank"
"1-747","Burbank"
"1-856","Camden"
"1-239","Cape Coral"
"1-319","Cedar Rapids"
"1-447","Champaign"
"1-217","Champaign"
"1-843","Charleston"
"1-681","Charleston"
"1-304","Charleston"
"1-980","Charlotte"
"1-704","Charlotte"
"1-423","Chattanooga"
"1-872","Chicago"
"1-773","Chicago"
"1-312","Chicago"
"1-413","Chicopee"
"1-708","Cicero"
"1-464","Cicero"
"1-283","Cincinatti"
"1-513","Cincinnati"
"1-931","Clarksville"
"1-440","Cleveland"
"1-216","Cleveland"
"1-573","Columbia"
"1-803","Columbia"
"1-614","Columbus"
"1-380","Columbus"
"1-925","Concord"
"1-361","Corpus Christi"
"1-214","Dallas"
"1-972","Dallas"
"1-469","Dallas"
"1-764","Daly City"
"1-650","Daly City"
"1-276","Danville"
"1-563","Davenport"
"1-937","Dayton"
"1-386","Daytona Beach"
"1-940","Denton"
"1-720","Denver"
"1-303","Denver"
"1-313","Detroit"
"1-679","Detroit"
"1-620","Dodge City"
"1-218","Duluth"
"1-715","Eau Claire"
"1-534","Eau Claire"
"1-848","Edison"
"1-732","Edison"
"1-915","El Paso"
"1-908","Elizabeth"
"1-607","Elmira"
"1-814","Erie"
"1-760","Escondido"
"1-442","Escondido"
"1-541","Eugene"
"1-458","Eugene"
"1-812","Evansville"
"1-701","Fargo"
"1-910","Fayetteville"
"1-810","Flint"
"1-954","Fort Lauderdale"
"1-754","Fort Lauderdale"
"1-479","Fort Smith"
"1-260","Fort Wayne"
"1-682","Fort Worth"
"1-817","Fort Worth"
"1-559","Fresno"
"1-352","Gainesville"
"1-409","Galveston"
"1-219","Gary"
"1-970","Grand Junction"
"1-616","Grand Rapids"
"1-231","Grant"
"1-920","Green Bay"
"1-274","Green Bay"
"1-336","Greensboro"
"1-864","Greenville"
"1-254","Hamilton"
"1-985","Hammond"
"1-959","Hartford"
"1-860","Hartford"
"1-516","Hempstead"
"1-808","Honolulu"
"1-832","Houston"
"1-713","Houston"
"1-281","Houston"
"1-938","Huntsville"
"1-256","Huntsville"
"1-936","Huntsville"
"1-317","Indianapolis"
"1-515","Iowa City"
"1-949","Irvine"
"1-769","Jackson"
"1-601","Jackson"
"1-731","Jackson"
"1-904","Jacksonville"
"1-551","Jersey City"
"1-201","Jersey City"
"1-870","Jonesboro"
"1-913","Kansas City"
"1-975","Kansas City"
"1-816","Kansas City"
"1-308","Kearney"
"1-262","Kenosha"
"1-845","Kingston"
"1-865","Knoxville"
"1-337","Lafayette"
"1-765","Lafayette"
"1-863","Lakeland"
"1-717","Lancaster"
"1-740","Lancaster"
"1-517","Lansing"
"1-307","Laramie"
"1-956","Laredo"
"1-575","Las Cruces"
"1-702","Las Vegas"
"1-580","Lawton"
"1-859","Lexington"
"1-501","Little Rock"
"1-562","Long Beach"
"1-323","Los Angeles"
"1-310","Los Angeles"
"1-213","Los Angeles"
"1-502","Louisville"
"1-978","Lowell"
"1-351","Lowell"
"1-806","Lubbock"
"1-434","Lynchburg"
"1-339","Lynn"
"1-781","Lynn"
"1-478","Macon"
"1-608","Madison"
"1-603","Manchester"
"1-507","Mankato"
"1-660","Marshall"
"1-641","Mason City"
"1-830","Medina"
"1-901","Memphis"
"1-786","Miami"
"1-305","Miami"
"1-414","Milwaukee"
"1-612","Minneapolis"
"1-251","Mobile"
"1-334","Montgomery"
"1-630","Naperville"
"1-615","Nashville"
"1-724","New Castle"
"1-504","New Orleans"
"1-917","New York City"
"1-646","New York City"
"1-212","New York City"
"1-973","Newark"
"1-862","Newark"
"1-716","Niagara Falls"
"1-510","Oakland"
"1-341","Oakland"
"1-432","Odessa"
"1-405","Oklahoma City"
"1-531","Omaha"
