"Phone Code","Description"
"598-446","Aigui"
"598-337","Araminda"
"598-772","Artigas"
"598-43","Balneario Las Flores"
"598-776","Baltasar Brum"
"598-474","Barra del Chuy"
"598-349","Barrio Escavino"
"598-766","Belén"
"598-779","Bella Unión"
"598-557","Boca del Rosario"
"598-52","Caballada"
"598-33","Canelón Chico"
"598-32","Canelones"
"598-338","Capurro"
"598-339","Cardal"
"598-536","Cardona"
"598-368","Carlos Reyles"
"598-542","Carmelo"
"598-365","Carmen"
"598-313","Caserko Murialdo"
"598-475","Castillos"
"598-311","Casupi"
"598-459","Cebollatk"
"598-466","Cerro Chato"
"598-318","Cerro Colorado"
"598-319","Chamizo"
"598-556","Colonia Cosmopolita"
"598-575","Colonia Miguelete"
"598-552","Colonia Piamontesa"
"598-546","Colonia Rapettti"
"598-562","Colonia Tomis"
"598-55","Colonia Valdense"
"598-577","Conchillas"
"598-764","Constitución"
"598-479","Costa Azul (Rocha)"
"598-73","Dayman"
"598-534","Dolores"
"598-36","Durazno"
"598-317","Estación Andreoni"
"598-390","Estación Sosa Dkaz"
"598-486","Faro José Ignacio"
"598-352","Florida"
"598-688","Fraile Muerto"
"598-742","Guichón"
"598-539","Ismael Cortinas"
"598-412","Izcua"
"598-455","J.P.Varela"
"598-469","José Batlle y Ordonez"
"598-538","José Enrique Rodó"
"598-586","Juan Lacaze"
"598-42","La Barra (Maldonado)"
"598-476","La Coronilla"
"598-38","Lagomar"
"598-679","Laguna Merkn"
"598-413","Las Canas"
"598-324","Las Piedras"
"598-456","Lascano"
"598-345","Libertad"
"598-42","Maldonado"
"598-449","Mariscala"
"598-64","Melo"
"598-53","Mercedes"
"598-532","Mercedes"
"598-44","Minas"
"598-442","Minas"
"598-658","Minas de Corrales"
"598-778","Mones Quintela"
"598-2","Montevideo"
"598-415","Nueva Carrara"
"598-544","Nueva Palmira"
"598-568","Nuevo Berlkn"
"598-576","Ombses de Lavalle"
"598-537","Palmitas"
"598-664","Paso de los Toros"
"598-72","Paysands"
"598-722","Paysandu"
"598-747","Piedras Coloradas"
"598-354","Pintado"
"598-448","Piraraji"
"598-587","Playa Fomento"
"598-477","Punta del Diablo"
"598-42","Punta Del Este"
"598-754","Quebracho"
"598-62","Rivera"
"598-675","Rko Branco"
"598-47","Rocha"
"598-348","Rodrkguez"
"598-369","San Gregorio de Polanco"
"598-399","San Jacinto"
"598-569","San Javier"
"598-34","San José"
"598-342","San Jose"
"598-38","San Jose De Carrasco"
"598-312","San Ramón"
"598-588","Santa Ana"
"598-464","Santa Clara de Olimar"
"598-367","Sarandk del Yk"
"598-379","Solks de Mataojo"
"598-63","Tacuarembó"
"598-315","Tala"
"598-574","Tarariras"
"598-645","Termas del Arapey"
"598-777","Tomis Gomensoro"
"598-656","Tranqueras"
"598-45","Treinta y Tres"
"598-364","Trinidad"
"598-457","Velizquez"
"598-458","Vergara"
"598-654","Vichadero"
"598-567","Young"
"598-463","Zapicin"
